id,congress,chamber,rollnumber,voteview_id,date,year,month,day,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,pap_description,pap_majortopic,pap_subtopic,majortopic,subtopic
6331,90,1,77,RH0900077,6/19/67,1967,6,19,NA,NA,329,8,0,0,0,0,0,HR480,NA,NA,NA,"TO SUSPEND THE RULES AND PASS H.R. 480, AMENDING THE WETLANDS ACQUISITION ACT OF 1961.","TO SUSPEND THE RULES AND PASS H.R. 480, AMENDING THE WETLANDS ACQUISITION ACT OF 1961.",7,710,7,701
6333,90,1,78,RH0900078,6/19/67,1967,6,19,NA,NA,238,97,-0.332,0.88,0.032,0.303,-174.842,HR482,NA,NA,NA,"TO SUSPEND THE RULES AND PASS H.R. 482, RELATING TO THE PRICE OF HUNTING STAMPS FOR THE TAKING OF MIGRATORY WATERFOWL.","TO SUSPEND THE RULES AND PASS H.R. 482, RELATING TO THE PRICE OF HUNTING STAMPS FOR THE TAKING OF MIGRATORY WATERFOWL.",7,709,7,709
6443,90,1,285,RH0900285,4/1/68,1968,4,1,NA,NA,334,25,0.504,0.539,0.154,0.973,-54.546,HR15979,NA,NA,NA,"TO SUSPEND THE RULES AND PASS H.R. 15979, A BILL TO AMEND PESTICIDE ACT OF AUG. 1, 1958, IN ORDER TO MINIMIZE INJURY TO FISH AND WILDLIFE FROM THE USE OF INSECTICIDES, HERBICIDES, FUNGICIDES AND PESTICIDES. THE BILL AMENDS THE PESTICIDE ACT BY AUTHORIZING A CONTINUATION OF THE PROGRAM THEREIN SET UP FOR 3 YEARS.","TO SUSPEND THE RULES AND PASS H.R. 15979, A BILL TO AMEND PESTICIDE ACT OF AUG. 1, 1958, IN ORDER TO MINIMIZE INJURY TO FISH AND WILDLIFE FROM THE USE OF INSECTICIDES, HERBICIDES, FUNGICIDES AND PESTICIDES. THE BILL AMENDS THE PESTICIDE ACT BY AUTHORIZ",7,704,7,704
6493,90,1,326,RH0900326,5/23/68,1968,5,23,NA,NA,336,13,0.549,0.453,0.19,0.633,-38.254,HR8578,NA,NA,NA,"TO PASS H.R. 8578, A BILL WHICH AMENDS TITLE 1 OF THE LAND AND WATER CONSERVATION FUND ACT OF 1965 BY INCREASING MONEY IN THE FUND, RETURNING TO A SYSTEM WHEREBY EACH PARK FACILITY OF THE U.S. MAY FIX ITS OWN USER FEES, AUTHORIZING CONTRACTS FOR LAND ACQUISITION IN ADVANCE OF APPROPRIATIONS AND AUTHORIZING THE SEC'Y OF INTERIOR TO LEASE OR SELL LAND ADMINISTERED BY THE NATIONAL PARK SERVICE.","TO PASS H.R. 8578, A BILL WHICH AMENDS TITLE 1 OF THE LAND AND WATER CONSERVATION FUND ACT OF 1965 BY INCREASING MONEY IN THE FUND, RETURNING TO A SYSTEM WHEREBY EACH PARK FACILITY OF THE U.S. MAY FIX ITS OWN USER FEES, AUTHORIZING CONTRACTS FOR LAND AC",7,711,7,711
6543,90,1,352,RH0900352,6/18/68,1968,6,18,NA,NA,136,228,0.073,-0.085,-0.172,0.305,-100.467,S1028,NA,NA,NA,"TO RECOMMIT S. 1028, A BILL TO EXTEND CERTAIN BENEFITS TO FORMER EMPLOYEES OF COUNTY COMMITTEES ESTABLISHED PURSUANT TO SECTION 8(B) OF THE SOIL CONSERVATION AND DOMESTIC ALLOTMENT ACT, WITH INSTRUCTIONS REGARDING CIVIL SERVICE STATUS FOR COUNTY COMMITTEES.","TO RECOMMIT S. 1028, A BILL TO EXTEND CERTAIN BENEFITS TO FORMER EMPLOYEES OF COUNTY COMMITTEES ESTABLISHED PURSUANT TO SECTION 8B) OF THE SOIL CONSERVATION AND DOMESTIC ALLOTMENT ACT, WITH INSTRUCTIONS REGARDING CIVIL SERVICE STATUS FOR COUNTY COMMITTE",7,711,7,711
6545,90,1,353,RH0900353,6/18/68,1968,6,18,NA,NA,353,13,-0.624,-0.608,-0.109,-0.559,-51.888,S1028,NA,NA,NA,"TO PASS S. 1028, A BILL TO EXTEND CERTAIN BENEFITS TO FORMER EMPLOYEES OF COUNTY COMMITTEES ESTABLISHED PURSUANT TO SECTION 8(B) OF THE SOIL CONSERVATION AND DOMESTIC ALLOTMENT ACT.","TO PASS S. 1028, A BILL TO EXTEND CERTAIN BENEFITS TO FORMER EMPLOYEES OF COUNTY COMMITTEES ESTABLISHED PURSUANT TO SECTION 8B) OF THE SOIL CONSERVATION AND DOMESTIC ALLOTMENT ACT.",7,711,7,711
6692,90,1,430,RH0900430,9/16/68,1968,9,16,NA,NA,271,22,0.993,-0.121,0.168,-0.061,-71,HR16771,NA,NA,NA,"TO SUSPEND THE RULES AND PASS H.R. 16771, TO DESIGNATE CERTAIN LANDS IN THE GREAT SWAMP NATIONAL WILDLIFE REFUGE, MORRIS COUNTY, N. J., AS WILDERNESS.","TO SUSPEND THE RULES AND PASS H.R. 16771, TO DESIGNATE CERTAIN LANDS IN THE GREAT SWAMP NATIONAL WILDLIFE REFUGE, MORRIS COUNTY, N. J., AS WILDERNESS.",7,709,7,709
6749,90,1,461,RH0900461,10/7/68,1968,10,7,NA,NA,277,0,0,0,0,0,0,S3206,NA,NA,NA,"TO SUSPEND THE RULES AND PASS S. 3206, THE WATER QUALITY IMPROVEMENT ACT OF 1968.","TO SUSPEND THE RULES AND PASS S. 3206, THE WATER QUALITY IMPROVEMENT ACT OF 1968.",7,701,7,701
7093,91,1,19,RH0910019,4/16/69,1969,4,16,NA,NA,392,1,0,0,0,0,0,HR4148,NA,NA,NA,"TO PASS H.R. 4148 TO AMEND THE FEDERAL WATER POLLUTION CONTROL ACT, AS AMENDED.","TO PASS H.R. 4148 TO AMEND THE FEDERAL WATER POLLUTION CONTROL ACT, AS AMENDED.",7,701,7,701
7272,91,1,77,RH0910077,9/4/69,1969,9,4,NA,NA,332,0,0,0,0,0,0,HR12085,NA,NA,NA,"TO PASS H.R. 12085, TO AMEND THE CLEAN AIR ACT TO EXTEND THE PROGRAM OF RESEARCH RELATING TO FUEL AND VEHICLES.","TO PASS H.R. 12085, TO AMEND THE CLEAN AIR ACT TO EXTEND THE PROGRAM OF RESEARCH RELATING TO FUEL AND VEHICLES.",7,705,7,705
7290,91,1,85,RH0910085,9/23/69,1969,9,23,NA,NA,372,15,0.77,-0.369,0.492,1.102,-37.12,HR12549,NA,NA,NA,"TO PASS H.R. 12549, A BILL TO AMEND THE FISH AND WILDLIFE COORDINATION ACT SO AS TO PROVIDE FOR THE ESTABLISHMENT OF A COUNCIL ON ENVIRONMENTAL QUALITY.","TO PASS H.R. 12549, A BILL TO AMEND THE FISH AND WILDLIFE COORDINATION ACT SO AS TO PROVIDE FOR THE ESTABLISHMENT OF A COUNCIL ON ENVIRONMENTAL QUALITY.",7,700,7,700
7373,91,1,212,RH0910212,3/25/70,1970,3,25,NA,NA,358,0,0,0,0,0,0,HR4148,NA,NA,NA,"TO ADOPT THE CONFERENCE REPORT ON H.R. 4148, TO AMEND THE FEDERAL WATER POLLUTION CONTROL ACT.","TO ADOPT THE CONFERENCE REPORT ON H.R. 4148, TO AMEND THE FEDERAL WATER POLLUTION CONTROL ACT.",7,701,7,701
7426,91,1,256,RH0910256,5/25/70,1970,5,25,NA,NA,287,7,0,0,0,0,0,HJRES1117,NA,NA,NA,"TO PASS H.J.RES. 1117, TO ESTABLISH A JOINT COMMITTEE ON THE ENVIRONMENT.","TO PASS H.J.RES. 1117, TO ESTABLISH A JOINT COMMITTEE ON THE ENVIRONMENT.",7,700,7,700
7448,91,1,267,RH0910267,6/10/70,1970,6,10,NA,NA,336,40,-0.38,-0.403,-0.186,-0.479,-66.9,HR17255,NA,NA,NA,"TO ADOPT H.RES. 1069, THE RULE UNDER WHICH THE HOUSE CONSIDERED H.R. 17255, TO AMEND THE CLEAN AIR ACT.","TO ADOPT H.RES. 1069, THE RULE UNDER WHICH THE HOUSE CONSIDERED H.R. 17255, TO AMEND THE CLEAN AIR ACT.",7,701,7,701
7450,91,1,268,RH0910268,6/10/70,1970,6,10,NA,NA,375,1,0,0,0,0,0,HR17255,NA,NA,NA,TO PASS H.R. 17255.,TO PASS H.R. 17255.,7,701,7,701
7468,91,1,277,RH0910277,6/22/70,1970,6,22,NA,NA,314,1,0,0,0,0,0,S2315,NA,NA,NA,"TO PASS S. 2315, TO RESTORE THE GOLDEN EAGLE PROGRAM TO THE LAND AND WATER CONSERVATION FUND ACT.","TO PASS S. 2315, TO RESTORE THE GOLDEN EAGLE PROGRAM TO THE LAND AND WATER CONSERVATION FUND ACT.",7,711,7,711
7470,91,1,278,RH0910278,6/23/70,1970,6,23,NA,NA,339,0,0,0,0,0,0,HR11833,NA,NA,NA,"TO PASS H.R. 11833, AMENDING THE SOLID WASTE DISPOSAL ACT TO PROVIDE FINANCIAL ASSISTANCE FOR THE CONSTRUCTION OF SOLID WASTE DISPOSAL FACILITIES, TO IMPROVE RESEARCH PROGRAMS PURSUANT TO SUCH ACT.","TO PASS H.R. 11833, AMENDING THE SOLID WASTE DISPOSAL ACT TO PROVIDE FINANCIAL ASSISTANCE FOR THE CONSTRUCTION OF SOLID WASTE DISPOSAL FACILITIES, TO IMPROVE RESEARCH PROGRAMS PURSUANT TO SUCH ACT.",7,703,7,703
7559,91,1,323,RH0910323,8/6/70,1970,8,6,NA,NA,358,0,0,0,0,0,0,S1933,NA,NA,NA,"TO PASS S. 1933, PROVIDING FOR FEDERAL RAILROAD SAFETY AND HAZARDOUS MATERIALS CONTROL.","TO PASS S. 1933, PROVIDING FOR FEDERAL RAILROAD SAFETY AND HAZARDOUS MATERIALS CONTROL.",7,704,7,704
7625,91,1,357,RH0910357,9/28/70,1970,9,28,NA,NA,310,0,0,0,0,0,0,S1933,NA,NA,NA,TO AGREE TO CONFERENCE REPORT ON S. 1933. MEASURE FOR SENATE ACTION.,TO AGREE TO CONFERENCE REPORT ON S. 1933. MEASURE FOR SENATE ACTION.,7,704,7,704
8012,91,1,183,RH0910183,2/17/70,1970,2,17,NA,NA,59,288,0.196,0.662,-0.146,-0.236,-116.466,HR15062,NA,NA,NA,"TO STRIKE TITLE I (H.R. 3723) OF H.R. 15062, AN OMNIBUS PRIVATE CLAIMS BILL.","TO STRIKE TITLE I H.R. 3723) OF H.R. 15062, AN OMNIBUS PRIVATE CLAIMS BILL.",7,709,7,709
8034,92,1,102,RH0920102,6/23/71,1971,6,23,NA,NA,129,278,-0.2,-0.112,0.102,0.535,-162.423,HR9270,NA,NA,NA,"TO AMEND AN AMENDMENT TO H.R. 9270 SEEKING TO FORBID CHANNELIZATION OF STREAMS, BY FORBIDDING THE FUNDING OF ANY STREAM CHANNELIZATION PROJECT ADMINISTERED UNDER THE SECRETARY OF AGRICULTURE AND UNDER CONSTRUCTION LATER THAN JULY 1, 1971.","TO AMEND AN AMENDMENT TO H.R. 9270 SEEKING TO FORBID CHANNELIZATION OF STREAMS, BY FORBIDDING THE FUNDING OF ANY STREAM CHANNELIZATION PROJECT ADMINISTERED UNDER THE SECRETARY OF AGRICULTURE AND UNDER CONSTRUCTION LATER THAN JULY 1, 1971.",7,711,7,711
