,id,congress,chamber,rollnumber,voteview_id,voteview_id_1,voteview_id_2,date,year,month,day,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,pap_description,pap_majortopic,pap_subtopic,majortopic,subtopic
31,4904,88,2,499,RS0880499,"'RS0880499',","RS0880499,",8/12/64,1964,8,12,NA,NA,35,59,0.16,-0.57,-0.447,-0.487,-20.491,HR3846,NA,NA,NA,"HR. 3846. DOMINICK AMEND. TO DELETE """"""""""""""""AND RELATED PERSONAL PROPERTY"""""""""""""""" FROM THE BILLS'S PROVISION PERMITTING PAYMENT INTO THE FUND OF PROCEEDS FROM SALES OF SURPLUS FEDERAL PROPERTY & RELATED PERSONAL PROPERTY.",FROM THE BILLS'S PROVISION PERMITTING PAYMENT INTO THE FUND OF PROCEEDS FROM SALES OF SURPLUS FEDERAL PROPERTY & RELATED PERSONAL PROPERTY.,7,711,7,711
32,4905,88,2,500,RS0880500,"'RS0880500',","RS0880500,",8/12/64,1964,8,12,NA,NA,92,1,0,0,0,0,0,HR3846,NA,NA,NA,HR. 3846. PASSAGE.,HR. 3846. PASSAGE.,7,711,7,711
33,4955,89,2,1,RS0890001,"'RS0890001',","RS0890001,",1/28/65,1965,1,28,NA,NA,15,62,0.066,0.809,-0.268,-0.35,-21.098,S4,NA,NA,NA,"TO AGREE TO A SUBSTITUTE AMENDMENT TO S. 4, THE 1965 WATER QUALITY ACT, CONCERNING WATER QUALITY STANDARDS.","TO AGREE TO A SUBSTITUTE AMENDMENT TO S. 4, THE 1965 WATER QUALITY ACT, CONCERNING WATER QUALITY STANDARDS.",7,701,7,701
34,5164,89,2,2,RS0890002,"'RS0890002',","RS0890002,",1/28/65,1965,1,28,NA,NA,29,54,-0.14,0.99,-0.275,-0.292,-24.709,S4,NA,NA,NA,"TO AGREE TO A SUBSTITUTE AMENDMENT TO S. 4, THE 1965 WATER QUALITY ACT, CONCERNING WATER QUALITY STANDARDS AND REVIEWING.","TO AGREE TO A SUBSTITUTE AMENDMENT TO S. 4, THE 1965 WATER QUALITY ACT, CONCERNING WATER QUALITY STANDARDS AND REVIEWING.",7,701,7,701
35,5244,89,2,3,RS0890003,"'RS0890003',","RS0890003,",1/28/65,1965,1,28,NA,NA,75,0,0,0,0,0,0,S4,NA,NA,NA,"TO AMEND S. 4, THE WATER QUALITY ACT OF 1965, BY REQUIRING ALL DETERMINATIONS RESPECTING WATER QUALITY STANDARDS UNDER THE BILL TO CONFORM TO THE ADMINISTRATIVE PROCEDURE ACT.","TO AMEND S. 4, THE WATER QUALITY ACT OF 1965, BY REQUIRING ALL DETERMINATIONS RESPECTING WATER QUALITY STANDARDS UNDER THE BILL TO CONFORM TO THE ADMINISTRATIVE PROCEDURE ACT.",7,701,7,701
36,5288,89,2,5,RS0890005,"'RS0890005',","RS0890005,",1/28/65,1965,1,28,NA,NA,68,8,0.158,0.932,0.195,0.355,-17.373,S4,NA,NA,NA,"TO PASS S. 4, THE WATER QUALITY ACT OF 1965.","TO PASS S. 4, THE WATER QUALITY ACT OF 1965.",7,701,7,701
37,5310,89,2,6,RS0890006,"'RS0890006',","RS0890006,",2/1/65,1965,2,1,NA,NA,28,56,0.081,-0.983,-0.145,0.037,-38.536,S3,NA,NA,NA,"TO AMEND S. 3, THE APPALACHIAN REGIONAL DEVELOPMENT ACT OF 1965, BY STRIKING POVISIONS OF THE BILL FOR LAND STABILIZATION, CONSERVATION, AND EROSION CONTROL.","TO AMEND S. 3, THE APPALACHIAN REGIONAL DEVELOPMENT ACT OF 1965, BY STRIKING POVISIONS OF THE BILL FOR LAND STABILIZATION, CONSERVATION, AND EROSION CONTROL.",7,711,7,711
38,5644,89,2,348,RS0890348,"'RS0890348',","RS0890348,",7/12/66,1966,7,12,NA,NA,80,0,0,0,0,0,0,S3112,NA,NA,NA,"TO PASS S. 3112, THE CLEAN AIR ACT AMENDMENTS OF 1966.","TO PASS S. 3112, THE CLEAN AIR ACT AMENDMENTS OF 1966.",7,705,7,705
39,5652,89,2,352,RS0890352,"'RS0890352',","RS0890352,",7/13/66,1966,7,13,NA,NA,90,0,0,0,0,0,0,S2947,NA,NA,NA,"TO PASS S. 2947, THE FEDERAL WATER POLLUTION-CONTROL ACT AMENDMENTS AND CLEAN RIVERS RESTORATION ACT OF 1966.","TO PASS S. 2947, THE FEDERAL WATER POLLUTION-CONTROL ACT AMENDMENTS AND CLEAN RIVERS RESTORATION ACT OF 1966.",7,701,7,701
40,5928,90,2,136,RS0900136,"'RS0900136',","RS0900136,",7/18/67,1967,7,18,NA,NA,88,0,0,0,0,0,0,S780,NA,NA,NA,"TO PASS S. 780, A BILL STRENGTHENING REGULATORY MEASURES AND RESEARCH TO PREVENT AND ABATE AIR POLLUTION.","TO PASS S. 780, A BILL STRENGTHENING REGULATORY MEASURES AND RESEARCH TO PREVENT AND ABATE AIR POLLUTION.",7,701,7,701
41,6649,90,2,405,RS0900405,"'RS0900405',","RS0900405,",4/29/68,1968,4,29,NA,NA,39,29,-0.176,0.199,-0.111,-0.204,-44.169,S1401,NA,NA,NA,"TO AMEND S. 1401, A BILL PROPOSING LAND AND WATER CONSERVATION FUND AMENDMENTS, BY CONFINING AUTHORIZATIONS IN THE BILL TO THE NEXT 3 YEARS RATHER THAN THE NEXT 5. FISCAL YEARS 1972 AND 1973.","TO AMEND S. 1401, A BILL PROPOSING LAND AND WATER CONSERVATION FUND AMENDMENTS, BY CONFINING AUTHORIZATIONS IN THE BILL TO THE NEXT 3 YEARS RATHER THAN THE NEXT 5. FISCAL YEARS 1972 AND 1973.",7,711,7,711
42,6651,90,2,406,RS0900406,"'RS0900406',","RS0900406,",4/29/68,1968,4,29,NA,NA,37,29,-0.26,0.288,-0.11,-0.422,-41.348,S1401,NA,NA,NA,"TO AMEND S. 1401, A BILL PROPOSING AMENDMENTS TO THE LAND AND WATER CONSERVATION FUND, BY ELIMINATING A PROVISION FOR USE OF A PORTION OF THE RECEIPTS FROM OIL AND GAS LEASING ON THE OUTER CONTINENTAL SHELF AS ADDITIONAL SOURCE OF REVENUE TO FINANCE THE LEGISLATION.","TO AMEND S. 1401, A BILL PROPOSING AMENDMENTS TO THE LAND AND WATER CONSERVATION FUND, BY ELIMINATING A PROVISION FOR USE OF A PORTION OF THE RECEIPTS FROM OIL AND GAS LEASING ON THE OUTER CONTINENTAL SHELF AS ADDITIONAL SOURCE OF REVENUE TO FINANCE THE",7,711,7,711
43,6731,90,2,449,RS0900449,"'RS0900449',","RS0900449,",5/29/68,1968,5,29,NA,NA,16,47,0.849,0.222,-0.136,0.585,-34.406,HR16913,NA,NA,NA,"TO AMEND H.R. 16913, BY REDUCING THE FUNDS FOR ADMINISTRATIVE EXPENSES OF 1969 PROGRAM OF SOIL BUILDING AND SOIL AND WATER CONSERVING PRACTISES.","TO AMEND H.R. 16913, BY REDUCING THE FUNDS FOR ADMINISTRATIVE EXPENSES OF 1969 PROGRAM OF SOIL BUILDING AND SOIL AND WATER CONSERVING PRACTISES.",7,711,7,711
44,6759,90,2,467,RS0900467,"'RS0900467',","RS0900467,",6/18/68,1968,6,18,NA,NA,13,69,0.785,-0.61,-0.226,-0.56,-31.066,S1401,NA,NA,NA,"TO AGREE TO THE LONG (LA.) MOTION TO APPOINT AS CONFEREES ON S. 1401, THE PROPOSED LAND AND WATER CONSERVATION FUND ACT AMENDMENTS, SENATORS JACKSON, ELLENDER, SMATHERS, KUCHEL, TOWER, AND ALLOT. THE LONG MOTION WAS A SUBSTITUTE FOR ONE MADE BY SENATOR JACKSON THAT THE CHAIR BE EMPOWERED TO APPOINT CONFEREES.","TO AGREE TO THE LONG (LA.) MOTION TO APPOINT AS CONFEREES ON S. 1401, THE PROPOSED LAND AND WATER CONSERVATION FUND ACT AMENDMENTS, SENATORS JACKSON, ELLENDER, SMATHERS, KUCHEL, TOWER, AND ALLOT. THE LONG MOTION WAS A SUBSTITUTE FOR ONE MADE BY SENATOR",7,711,7,711
45,6870,90,2,568,RS0900568,"'RS0900568',","RS0900568,",9/24/68,1968,9,24,NA,NA,37,29,-0.78,-0.626,0.039,-0.289,-45.581,HR2767,NA,NA,NA,TO AMEND H. R. 2767 BY EXEMPTING CERTAIN ACTIVITIES OF THE SOIL CONSERVATION SERVICE FROM LIMITATIONS UNDER THE REVENUE AND EXPENDITURE CONTROL ACT OF 1968.,TO AMEND H. R. 2767 BY EXEMPTING CERTAIN ACTIVITIES OF THE SOIL CONSERVATION SERVICE FROM LIMITATIONS UNDER THE REVENUE AND EXPENDITURE CONTROL ACT OF 1968.,7,711,7,711
