group,congress,chamber,icpsr,bioname,party_code,state_abbrev,district_code,coord1D,correctYea,wrongYea,correctNay,wrongNay,GMP,CC,se1D
1,91,House,4957,"JOHNSON, Harold Terry",D,CA,2,0.556892753,17,3,12,0,0.810104907,0.90625,0
1,92,House,4957,"JOHNSON, Harold Terry",D,CA,2,0.556892753,17,3,12,0,0.810104907,0.90625,0
1,91,House,6756,"MOSS, John Emerson",D,CA,3,-0.030077809,20,1,4,2,0.825408399,0.888888889,0
1,92,House,6756,"MOSS, John Emerson",D,CA,3,-0.030077809,20,1,4,2,0.825408399,0.888888889,0
1,91,House,10599,"LEGGETT, Robert Louis",D,CA,4,0.279322982,17,3,4,6,0.672837138,0.7,0
1,92,House,10599,"LEGGETT, Robert Louis",D,CA,4,0.279322982,17,3,4,6,0.672837138,0.7,0
1,91,House,10577,"BURTON, Phillip",D,CA,5,-0.081243709,22,2,4,2,0.774630368,0.866666667,0
1,92,House,10577,"BURTON, Phillip",D,CA,5,-0.081243709,22,2,4,2,0.774630368,0.866666667,0
1,91,House,5929,"MAILLIARD, William Somers",R,CA,6,0.320551127,20,1,5,3,0.732731283,0.862068966,0
1,92,House,5929,"MAILLIARD, William Somers",R,CA,6,0.320551127,20,1,5,3,0.732731283,0.862068966,0
1,91,House,1911,"COHELAN, Jeffery",D,CA,7,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,6483,"MILLER, George Paul",D,CA,8,0.335027486,13,1,8,1,0.770893872,0.913043478,0
1,92,House,6483,"MILLER, George Paul",D,CA,8,0.335027486,13,1,8,1,0.770893872,0.913043478,0
1,91,House,10583,"EDWARDS, William Donlon (Don)",D,CA,9,-0.184036568,21,2,5,3,0.795701265,0.838709677,0
1,92,House,10583,"EDWARDS, William Donlon (Don)",D,CA,9,-0.184036568,21,2,5,3,0.795701265,0.838709677,0
1,91,House,3867,"GUBSER, Charles Samuel",R,CA,10,0.295210481,15,1,2,3,0.747171044,0.80952381,0
1,92,House,3867,"GUBSER, Charles Samuel",R,CA,10,0.295210481,15,1,2,3,0.747171044,0.80952381,0
1,91,House,11063,"McCLOSKEY, Paul Norton , Jr. (Pete)",R,CA,11,-0.003595699,15,0,2,1,0.816977739,0.944444444,0
1,92,House,11063,"McCLOSKEY, Paul Norton , Jr. (Pete)",R,CA,11,-0.003595699,15,0,2,1,0.816977739,0.944444444,0
1,91,House,10631,"TALCOTT, Burt Lacklen",R,CA,12,0.614417017,18,1,9,2,0.781598985,0.9,0
1,92,House,10631,"TALCOTT, Burt Lacklen",R,CA,12,0.614417017,18,1,9,2,0.781598985,0.9,0
1,91,House,9240,"TEAGUE, Charles McKevett",R,CA,13,0.537809312,18,0,10,1,0.84424758,0.965517241,0
1,92,House,9240,"TEAGUE, Charles McKevett",R,CA,13,0.537809312,18,0,10,1,0.84424758,0.965517241,0
1,91,House,10793,"WALDIE, Jerome Russell",D,CA,14,-0.065233223,22,0,5,3,0.840002835,0.9,0
1,92,House,10793,"WALDIE, Jerome Russell",D,CA,14,-0.065233223,22,0,5,3,0.840002835,0.9,0
1,91,House,6240,"McFALL, John Joseph",D,CA,15,0.654942751,15,3,9,1,0.728746414,0.857142857,0
1,92,House,6240,"McFALL, John Joseph",D,CA,15,0.654942751,15,3,9,1,0.728746414,0.857142857,0
1,91,House,8549,"SISK, Bernice Frederic",D,CA,16,0.553459883,14,2,12,0,0.817273915,0.928571429,0
1,92,House,8549,"SISK, Bernice Frederic",D,CA,16,0.553459883,14,2,12,0,0.817273915,0.928571429,0
1,91,House,12001,"ANDERSON, Glenn Malcolm",D,CA,17,-0.369129092,18,1,6,1,0.852760077,0.923076923,0
1,92,House,12001,"ANDERSON, Glenn Malcolm",D,CA,17,-0.369129092,18,1,6,1,0.852760077,0.923076923,0
1,91,House,11031,"MATHIAS, Robert Bruce (Bob)",R,CA,18,0.564065874,15,0,11,0,0.854959428,1,0
1,92,House,11031,"MATHIAS, Robert Bruce (Bob)",R,CA,18,0.564065874,15,0,11,0,0.854959428,1,0
1,91,House,4514,"HOLIFIELD, Chester Earl",D,CA,19,0.557312667,14,1,10,0,0.856267452,0.96,0
1,92,House,4514,"HOLIFIELD, Chester Earl",D,CA,19,0.557312667,14,1,10,0,0.856267452,0.96,0
1,91,House,8628,"SMITH, H. Allen",R,CA,20,0.807428479,9,3,10,3,0.667799711,0.76,0
1,92,House,8628,"SMITH, H. Allen",R,CA,20,0.807428479,9,3,10,3,0.667799711,0.76,0
1,91,House,10595,"HAWKINS, Augustus Freeman (Gus)",D,CA,21,-0.941120863,11,0,6,0,0.987907588,1,0
1,92,House,10595,"HAWKINS, Augustus Freeman (Gus)",D,CA,21,-0.941120863,11,0,6,0,0.987907588,1,0
1,91,House,10511,"CORMAN, James Charles",D,CA,22,-0.027699675,16,4,4,2,0.690442979,0.769230769,0
1,92,House,10511,"CORMAN, James Charles",D,CA,22,-0.027699675,16,4,4,2,0.690442979,0.769230769,0
1,91,House,10580,"CLAWSON, Delwin Morgan",R,CA,23,0.677748799,14,0,4,1,0.799487531,0.947368421,0
1,92,House,10580,"CLAWSON, Delwin Morgan",R,CA,23,0.677748799,14,0,4,1,0.799487531,0.947368421,0
1,91,House,5694,"LIPSCOMB, Glenard Paul",R,CA,24,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,11055,"WIGGINS, Charles Edward",R,CA,25,0.741290867,11,1,12,1,0.766620457,0.92,0
1,92,House,11055,"WIGGINS, Charles Edward",R,CA,25,0.741290867,11,1,12,1,0.766620457,0.92,0
1,91,House,10790,"REES, Thomas Mankell",D,CA,26,-0.119422249,19,3,6,1,0.795157313,0.862068966,0
1,92,House,10790,"REES, Thomas Mankell",D,CA,26,-0.119422249,19,3,6,1,0.795157313,0.862068966,0
1,91,House,10505,"BELL, Alphonzo",R,CA,28,0.245487601,14,5,6,2,0.645909071,0.740740741,0
1,92,House,10505,"BELL, Alphonzo",R,CA,28,0.245487601,14,5,6,2,0.645909071,0.740740741,0
1,91,House,10573,"BROWN, George Edward, Jr.",D,CA,29,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10621,"ROYBAL, Edward R.",D,CA,30,-0.173518628,22,0,5,3,0.779612303,0.9,0
1,92,House,10621,"ROYBAL, Edward R.",D,CA,30,-0.173518628,22,0,5,3,0.779612303,0.9,0
1,91,House,10640,"WILSON, Charles Herbert",D,CA,31,0.025136065,15,4,4,1,0.644968927,0.791666667,0
1,92,House,10640,"WILSON, Charles Herbert",D,CA,31,0.025136065,15,4,4,1,0.644968927,0.791666667,0
1,91,House,4592,"HOSMER, Craig",R,CA,32,0.557742417,17,0,11,0,0.844624341,1,0
1,92,House,4592,"HOSMER, Craig",R,CA,32,0.557742417,17,0,11,0,0.844624341,1,0
1,91,House,11038,"PETTIS, Jerry Lyle",R,CA,33,0.411527038,18,1,9,1,0.777407706,0.931034483,0
1,92,House,11038,"PETTIS, Jerry Lyle",R,CA,33,0.411527038,18,1,9,1,0.777407706,0.931034483,0
1,91,House,10594,"HANNA, Richard Thomas",D,CA,34,0.231271863,13,3,4,2,0.617191672,0.772727273,0
1,92,House,10594,"HANNA, Richard Thomas",D,CA,34,0.231271863,13,3,4,2,0.617191672,0.772727273,0
1,91,House,9578,"UTT, James Boyd",R,CA,35,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10249,"WILSON, Robert Carlton (Bob)",R,CA,36,0.53283757,15,0,9,0,0.843693197,1,0
1,92,House,10249,"WILSON, Robert Carlton (Bob)",R,CA,36,0.53283757,15,0,9,0,0.843693197,1,0
1,91,House,10633,"VAN DEERLIN, Lionel",D,CA,37,-0.183556139,13,0,4,3,0.806031942,0.85,0
1,92,House,10633,"VAN DEERLIN, Lionel",D,CA,37,-0.183556139,13,0,4,3,0.806031942,0.85,0
1,91,House,10777,"TUNNEY, John Varick",D,CA,38,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,8021,"ROGERS, Byron Giles",D,CO,1,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10572,"BROTZMAN, Donald Glenn",R,CO,2,0.407436341,17,2,10,1,0.773280144,0.9,0
1,92,House,10572,"BROTZMAN, Donald Glenn",R,CO,2,0.407436341,17,2,10,1,0.773280144,0.9,0
1,91,House,10723,"EVANS, Frank Edward",D,CO,3,0.484764218,13,2,9,1,0.745653689,0.88,0
1,92,House,10723,"EVANS, Frank Edward",D,CO,3,0.484764218,13,2,9,1,0.745653689,0.88,0
1,91,House,275,"ASPINALL, Wayne Norviel",D,CO,4,0.611754835,16,3,11,0,0.810083687,0.9,0
1,92,House,275,"ASPINALL, Wayne Norviel",D,CO,4,0.611754835,16,3,11,0,0.810083687,0.9,0
1,91,House,2295,"DADDARIO, Emilio Quincy",D,CT,1,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10627,"ST. ONGE, William Leon",D,CT,2,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,3553,"GIAIMO, Robert Nicholas",D,CT,3,0.306691021,11,4,8,3,0.629094601,0.730769231,0
1,92,House,3553,"GIAIMO, Robert Nicholas",D,CT,3,0.306691021,11,4,8,3,0.629094601,0.730769231,0
1,91,House,12032,"WEICKER, Lowell Palmer, Jr.",R,CT,4,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,6586,"MONAGAN, John Stephen",D,CT,5,0.291021287,15,3,7,2,0.690849245,0.814814815,0
1,92,House,6586,"MONAGAN, John Stephen",D,CT,5,0.291021287,15,3,7,2,0.690849245,0.814814815,0
1,91,House,11033,"MESKILL, Thomas Joseph",R,CT,6,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,11044,"ROTH, William Victor, Jr.",R,DE,1,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,8507,"SIKES, Robert Lee Fulton",D,FL,1,0.560088873,19,1,11,0,0.856364071,0.967741935,0
1,92,House,8507,"SIKES, Robert Lee Fulton",D,FL,1,0.560088873,19,1,11,0,0.856364071,0.967741935,0
1,91,House,10587,"FUQUA, Don",D,FL,2,0.521436691,15,2,11,1,0.815545678,0.896551724,0
1,92,House,10587,"FUQUA, Don",D,FL,2,0.521436691,15,2,11,1,0.815545678,0.896551724,0
1,91,House,633,"BENNETT, Charles Edward",D,FL,3,0.38265425,15,5,6,6,0.539210439,0.65625,0
1,92,House,633,"BENNETT, Charles Edward",D,FL,3,0.38265425,15,5,6,6,0.539210439,0.65625,0
1,91,House,12007,"CHAPPELL, William Venroe, Jr.",D,FL,4,0.588556409,11,2,8,1,0.792516291,0.863636364,0
1,92,House,12007,"CHAPPELL, William Venroe, Jr.",D,FL,4,0.588556409,11,2,8,1,0.792516291,0.863636364,0
1,91,House,12015,"FREY, Louis, Jr.",R,FL,5,0.310281843,17,3,6,5,0.709993541,0.741935484,0
1,92,House,12015,"FREY, Louis, Jr.",R,FL,5,0.310281843,17,3,6,5,0.709993541,0.741935484,0
1,91,House,10588,"GIBBONS, Sam Melville",D,FL,6,0.227657571,20,2,6,2,0.735586584,0.866666667,0
1,92,House,10588,"GIBBONS, Sam Melville",D,FL,6,0.227657571,20,2,6,2,0.735586584,0.866666667,0
1,91,House,3929,"HALEY, James Andrew",D,FL,7,0.672604084,14,3,10,2,0.770704806,0.827586207,0
1,92,House,3929,"HALEY, James Andrew",D,FL,7,0.672604084,14,3,10,2,0.770704806,0.827586207,0
1,91,House,2143,"CRAMER, William Cato",R,FL,8,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,8032,"ROGERS, Paul Grant",D,FL,9,0.207871288,21,3,5,3,0.707623661,0.8125,0
1,92,House,8032,"ROGERS, Paul Grant",D,FL,9,0.207871288,21,3,5,3,0.707623661,0.8125,0
1,91,House,11007,"BURKE, J. Herbert",R,FL,10,0.272091508,13,2,6,4,0.629897773,0.76,0
1,92,House,11007,"BURKE, J. Herbert",R,FL,10,0.272091508,13,2,6,4,0.629897773,0.76,0
1,91,House,7333,"PEPPER, Claude Denson",D,FL,11,0.256801605,15,4,4,4,0.677165926,0.703703704,0
1,92,House,7333,"PEPPER, Claude Denson",D,FL,11,0.256801605,15,4,4,4,0.677165926,0.703703704,0
1,91,House,3078,"FASCELL, Dante Bruno",D,FL,12,0.010359651,22,1,5,2,0.804073811,0.9,0
1,92,House,3078,"FASCELL, Dante Bruno",D,FL,12,0.010359651,22,1,5,2,0.804073811,0.9,0
1,91,House,10522,"HAGAN, George Elliott",D,GA,1,0.752051473,12,1,12,1,0.800739825,0.923076923,0
1,92,House,10522,"HAGAN, George Elliott",D,GA,1,0.752051473,12,1,12,1,0.800739825,0.923076923,0
1,91,House,10759,"O'NEAL, Maston Emmett, Jr.",D,GA,2,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,11005,"BRINKLEY, Jack Thomas",D,GA,3,0.426379353,19,1,8,4,0.656441152,0.84375,0
1,92,House,11005,"BRINKLEY, Jack Thomas",D,GA,3,0.426379353,19,1,8,4,0.656441152,0.84375,0
1,91,House,11002,"BLACKBURN, Benjamin Bentley",R,GA,4,0.746214211,9,2,6,4,0.521510661,0.714285714,0
1,92,House,11002,"BLACKBURN, Benjamin Bentley",R,GA,4,0.746214211,9,2,6,4,0.521510661,0.714285714,0
1,91,House,11053,"THOMPSON, Standish Fletcher",R,GA,5,0.598038256,16,1,8,2,0.803617537,0.888888889,0
1,92,House,11053,"THOMPSON, Standish Fletcher",R,GA,5,0.598038256,16,1,8,2,0.803617537,0.888888889,0
1,91,House,3242,"FLYNT, John James, Jr.",D,GA,6,0.729672492,13,2,11,1,0.781039119,0.888888889,0
1,92,House,3242,"FLYNT, John James, Jr.",D,GA,6,0.729672492,13,2,11,1,0.781039119,0.888888889,0
1,91,House,10512,"DAVIS, John William",D,GA,7,0.588303089,12,4,10,0,0.80798161,0.846153846,0
1,92,House,10512,"DAVIS, John William",D,GA,7,0.588303089,12,4,10,0,0.80798161,0.846153846,0
1,91,House,11052,"STUCKEY, Williamson Sylvester, Jr.",D,GA,8,0.503602922,8,4,8,1,0.571195483,0.761904762,0
1,92,House,11052,"STUCKEY, Williamson Sylvester, Jr.",D,GA,8,0.503602922,8,4,8,1,0.571195483,0.761904762,0
1,91,House,5436,"LANDRUM, Phillip Mitchell",D,GA,9,0.65923506,11,2,7,2,0.760560751,0.818181818,0
1,92,House,5436,"LANDRUM, Phillip Mitchell",D,GA,9,0.65923506,11,2,7,2,0.760560751,0.818181818,0
1,91,House,10563,"STEPHENS, Robert Grier, Jr.",D,GA,10,0.691194415,10,4,11,1,0.695093989,0.807692308,0
1,92,House,10563,"STEPHENS, Robert Grier, Jr.",D,GA,10,0.691194415,10,4,11,1,0.695093989,0.807692308,0
1,91,House,10605,"MATSUNAGA, Spark Masayuki",D,HI,98,0.32731691,17,1,8,3,0.679831207,0.862068966,0
1,92,House,10605,"MATSUNAGA, Spark Masayuki",D,HI,1,0.32731691,17,1,8,3,0.679831207,0.862068966,0
1,91,House,10757,"MINK, Patsy Takemoto",D,HI,98,0.061926991,23,1,4,3,0.777607799,0.870967742,0
1,92,House,10757,"MINK, Patsy Takemoto",D,HI,2,0.061926991,23,1,4,3,0.777607799,0.870967742,0
1,91,House,11029,"McCLURE, James Albertus",R,ID,1,0.693808794,13,1,6,4,0.599898875,0.791666667,0
1,92,House,11029,"McCLURE, James Albertus",R,ID,1,0.693808794,13,1,6,4,0.599898875,0.791666667,0
1,91,House,12016,"HANSEN, Orval Howard",R,ID,2,0.567888916,16,1,12,0,0.837377191,0.965517241,0
1,92,House,12016,"HANSEN, Orval Howard",R,ID,2,0.567888916,16,1,12,0,0.837377191,0.965517241,0
1,91,House,2433,"DAWSON, William Levi",D,IL,1,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,12025,"MIKVA, Abner Joseph",D,IL,2,-0.975083172,23,0,9,0,0.962967992,1,0
1,92,House,12025,"MIKVA, Abner Joseph",D,IL,2,-0.975083172,23,0,9,0,0.962967992,1,0
1,91,House,6816,"MURPHY, William Thomas",D,IL,3,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,2525,"DERWINSKI, Edward Joseph",R,IL,4,0.591382921,16,0,7,2,0.803654194,0.92,0
1,92,House,2525,"DERWINSKI, Edward Joseph",R,IL,4,0.591382921,16,0,7,2,0.803654194,0.92,0
1,91,House,5326,"KLUCZYNSKI, John Carl",D,IL,5,0.275757462,16,3,7,1,0.739716947,0.851851852,0
1,92,House,5326,"KLUCZYNSKI, John Carl",D,IL,5,0.275757462,16,3,7,1,0.739716947,0.851851852,0
1,91,House,10765,"RONAN, Daniel John",D,IL,6,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10703,"ANNUNZIO, Frank",D,IL,7,0.169490099,21,3,6,0,0.756445646,0.9,0
1,92,House,10703,"ANNUNZIO, Frank",D,IL,7,0.169490099,21,3,6,0,0.756445646,0.9,0
1,91,House,8080,"ROSTENKOWSKI, Daniel David",D,IL,8,0.135963827,15,1,4,0,0.810532987,0.95,0
1,92,House,8080,"ROSTENKOWSKI, Daniel David",D,IL,8,0.135963827,15,1,4,0,0.810532987,0.95,0
1,91,House,10421,"YATES, Sidney Richard",D,IL,9,-0.812228203,16,1,6,0,0.927915812,0.956521739,0
1,92,House,10421,"YATES, Sidney Richard",D,IL,9,-0.812228203,16,1,6,0,0.927915812,0.956521739,0
1,91,House,1941,"COLLIER, Harold Reginald",R,IL,10,0.437684715,12,4,6,3,0.413709462,0.72,0
1,92,House,1941,"COLLIER, Harold Reginald",R,IL,10,0.437684715,12,4,6,3,0.413709462,0.72,0
1,91,House,7642,"PUCINSKI, Roman Conrad",D,IL,11,-0.007573262,18,2,3,1,0.849653125,0.875,0
1,92,House,7642,"PUCINSKI, Roman Conrad",D,IL,11,-0.007573262,18,2,3,1,0.849653125,0.875,0
1,91,House,10606,"McCLORY, Robert",R,IL,12,0.36529088,14,1,6,3,0.675210953,0.833333333,0
1,92,House,10606,"McCLORY, Robert",R,IL,12,0.36529088,14,1,6,3,0.675210953,0.833333333,0
1,91,House,10622,"RUMSFELD, Donald Henry",R,IL,13,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10722,"ERLENBORN, John Neal",R,IL,14,0.549009919,14,0,9,3,0.696021914,0.884615385,0
1,92,House,10722,"ERLENBORN, John Neal",R,IL,14,0.549009919,14,0,9,3,0.696021914,0.884615385,0
1,91,House,10617,"REID, Charlotte Thompson",R,IL,15,NA,NA,NA,NA,NA,NA,NA,NA
1,92,House,10617,"REID, Charlotte Thompson",R,IL,15,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10501,"ANDERSON, John Bayard",R,IL,16,0.419961751,17,1,10,1,0.76788795,0.931034483,0
1,92,House,10501,"ANDERSON, John Bayard",R,IL,16,0.419961751,17,1,10,1,0.76788795,0.931034483,0
1,91,House,226,"ARENDS, Leslie Cornelius",R,IL,17,0.616981387,16,1,6,1,0.802868068,0.916666667,0
1,92,House,226,"ARENDS, Leslie Cornelius",R,IL,17,0.616981387,16,1,6,1,0.802868068,0.916666667,0
1,91,House,6455,"MICHEL, Robert Henry",R,IL,18,0.738987744,11,4,8,4,0.596421063,0.703703704,0
1,92,House,6455,"MICHEL, Robert Henry",R,IL,18,0.738987744,11,4,8,4,0.596421063,0.703703704,0
1,91,House,11041,"RAILSBACK, Thomas Fisher",R,IL,19,0.411632419,14,1,8,0,0.802098215,0.956521739,0
1,92,House,11041,"RAILSBACK, Thomas Fisher",R,IL,19,0.411632419,14,1,8,0,0.802098215,0.956521739,0
1,91,House,10517,"FINDLEY, Paul",R,IL,20,0.718873858,11,2,12,1,0.717788637,0.884615385,0
1,92,House,10517,"FINDLEY, Paul",R,IL,20,0.718873858,11,2,12,1,0.717788637,0.884615385,0
1,91,House,3769,"GRAY, Kenneth James",D,IL,21,0.51617527,14,2,9,0,0.815308988,0.92,0
1,92,House,3769,"GRAY, Kenneth James",D,IL,21,0.51617527,14,2,9,0,0.815308988,0.92,0
1,91,House,8814,"SPRINGER, William Lee",R,IL,22,0.567507625,14,2,6,2,0.723513126,0.833333333,0
1,92,House,8814,"SPRINGER, William Lee",R,IL,22,0.567507625,14,2,6,2,0.723513126,0.833333333,0
1,91,House,8474,"SHIPLEY, George Edward",D,IL,23,0.422802329,14,3,9,2,0.740565598,0.821428571,0
1,92,House,8474,"SHIPLEY, George Edward",D,IL,23,0.422802329,14,3,9,2,0.740565598,0.821428571,0
1,91,House,7610,"PRICE, Charles Melvin",D,IL,24,0.154285401,18,3,7,0,0.747347534,0.892857143,0
1,92,House,7610,"PRICE, Charles Melvin",D,IL,24,0.154285401,18,3,7,0,0.747347534,0.892857143,0
1,91,House,5900,"MADDEN, Ray John",D,IN,1,0.069304019,22,2,6,0,0.807401657,0.933333333,0
1,92,House,5900,"MADDEN, Ray John",D,IN,1,0.069304019,22,2,6,0,0.807401657,0.933333333,0
1,91,House,12020,"LANDGREBE, Earl Fredrick",R,IN,2,0.847314894,6,5,6,4,0.52393043,0.571428571,0
1,92,House,12020,"LANDGREBE, Earl Fredrick",R,IN,2,0.847314894,6,5,6,4,0.52393043,0.571428571,0
1,91,House,948,"BRADEMAS, John",D,IN,3,-0.039352667,19,0,5,3,0.787194848,0.888888889,0
1,92,House,948,"BRADEMAS, John",D,IN,3,-0.039352667,19,0,5,3,0.787194848,0.888888889,0
1,91,House,18,"ADAIR, Edwin Ross",R,IN,4,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10552,"ROUDEBUSH, Richard Lowell",R,IN,5,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,986,"BRAY, William Gilmer",R,IN,6,0.682414711,18,0,9,3,0.771441638,0.9,0
1,92,House,986,"BRAY, William Gilmer",R,IN,6,0.682414711,18,0,9,3,0.771441638,0.9,0
1,91,House,11036,"MYERS, John Thomas",R,IN,7,0.565763175,15,3,10,1,0.799146891,0.862068966,0
1,92,House,11036,"MYERS, John Thomas",R,IN,7,0.565763175,15,3,10,1,0.799146891,0.862068966,0
1,91,House,11059,"ZION, Roger Herschel",R,IN,8,0.534503818,19,1,11,1,0.811164796,0.9375,0
1,92,House,11059,"ZION, Roger Herschel",R,IN,8,0.534503818,19,1,11,1,0.811164796,0.9375,0
1,91,House,10732,"HAMILTON, Lee Herbert",D,IN,9,0.111574247,24,2,5,1,0.79376328,0.90625,0
1,92,House,10732,"HAMILTON, Lee Herbert",D,IN,9,0.111574247,24,2,5,1,0.79376328,0.90625,0
1,91,House,12012,"DENNIS, David Worth",R,IN,10,0.566517711,17,2,8,4,0.686400115,0.806451613,0
1,92,House,12012,"DENNIS, David Worth",R,IN,10,0.566517711,17,2,8,4,0.686400115,0.806451613,0
1,91,House,10742,"JACOBS, Andrew, Jr.",D,IN,11,0.128577054,22,4,2,4,0.633226156,0.75,0
1,92,House,10742,"JACOBS, Andrew, Jr.",D,IN,11,0.128577054,22,4,2,4,0.633226156,0.75,0
1,91,House,8288,"SCHWENGEL, Frederick Delbert",R,IA,1,0.483734906,12,4,7,2,0.678225935,0.76,0
1,92,House,8288,"SCHWENGEL, Frederick Delbert",R,IA,1,0.483734906,12,4,7,2,0.678225935,0.76,0
1,91,House,10715,"CULVER, John Chester",D,IA,2,-0.121163242,23,0,6,1,0.873460412,0.966666667,0
1,92,House,10715,"CULVER, John Chester",D,IA,2,-0.121163242,23,0,6,1,0.873460412,0.966666667,0
1,91,House,3853,"GROSS, Harold Royce",R,IA,3,1,6,3,16,3,0.612673819,0.785714286,0
1,92,House,3853,"GROSS, Harold Royce",R,IA,3,1,6,3,16,3,0.612673819,0.785714286,0
1,91,House,5385,"KYL, John Henry",R,IA,4,0.548781395,15,1,11,1,0.82339704,0.928571429,0
1,92,House,5385,"KYL, John Henry",R,IA,4,0.548781395,15,1,11,1,0.82339704,0.928571429,0
