congress,chamber,icpsr,adjust_d1,bioname,party_code,state_abbrev,district_code,d1,correctyea,wrongyea,correctnay,wrongnay,gmp,cc,se1d,d1_previous,d1_rolling,d1_norm,group,x_d1,a_d1,b_d1
91,"House",3480,.3193862,"GARMATZ, Edward Alexander","D","MD",3,.494001,15,1,8,0,.8385662,.9583333,0,,0,.494001,1,.3211527,.1806121,.9812224
91,"House",5929,.142617,"MAILLIARD, William Somers","R","CA",6,.3205511,20,1,5,3,.7327313,.862069,0,,0,.3205511,1,.1489439,.1806121,.9812224
91,"House",10522,.5823749,"HAGAN, George Elliott","D","GA",1,.7520515,12,1,12,1,.8007398,.9230769,0,,0,.7520515,1,.5773566,.1806121,.9812224
91,"House",10726,-.0562762,"FOLEY, Thomas Stephen","D","WA",5,.1253926,18,4,5,1,.6664714,.8214286,0,,0,.1253926,1,.0056261,.1806121,.9812224
91,"House",10727,-.358488,"FORD, William David","D","MI",15,-.1711444,22,0,7,2,.8846369,.9354839,0,,0,-.1711444,1,-.148225,.1806121,.9812224
91,"House",465,.1719911,"BARRETT, William Aloysius","D","PA",1,.3493736,10,5,8,1,.6481454,.75,0,,0,.3493736,1,.1268076,.1806121,.9812224
91,"House",11034,.2821132,"MILLER, Clarence E.","R","OH",10,.4574279,16,3,10,3,.6857783,.8125,0,,0,.4574279,1,.4853195,.1806121,.9812224
91,"House",8247,-.1258504,"SAYLOR, John Phillips","R","PA",22,.0571249,17,2,3,3,.6444536,.8,0,,0,.0571249,1,-.1125973,.1806121,.9812224
91,"House",5924,.6067026,"MAHON, George Herman","D","TX",19,.7759224,15,1,16,0,.758697,.96875,0,,0,.7759224,1,.4968624,.1806121,.9812224
91,"House",10621,-.3609077,"ROYBAL, Edward R.","D","CA",30,-.1735186,22,0,5,3,.7796123,.9,0,,0,-.1735186,1,-.3420158,.1806121,.9812224
91,"House",10500,-.0670545,"ADDABBO, Joseph Patrick","D","NY",7,.1148167,21,5,4,2,.6505433,.78125,0,,0,.1148167,1,-.2597451,.1806121,.9812224
91,"House",12018,.2084261,"HOGAN, Lawrence Joseph","R","MD",5,.3851245,16,3,10,2,.7259085,.8387097,0,,0,.3851245,1,.2162991,.1806121,.9812224
91,"House",10785,.3630505,"WYATT, Wendell","R","OR",1,.5368454,14,0,11,1,.8250434,.9615384,0,,0,.5368454,1,.2877697,.1806121,.9812224
91,"House",633,.2059086,"BENNETT, Charles Edward","D","FL",3,.3826542,15,5,6,6,.5392104,.65625,0,,0,.3826542,1,.1198874,.1806121,.9812224
91,"House",10710,.2673735,"CARTER, Tim Lee","R","KY",5,.442965,17,3,9,1,.7685579,.8666667,0,,0,.442965,1,.1828344,.1806121,.9812224
91,"House",11002,.576426,"BLACKBURN, Benjamin Bentley","R","GA",4,.7462142,9,2,6,4,.5215107,.7142857,0,,0,.7462142,1,.5485991,.1806121,.9812224
91,"House",11004,-.227651,"BRASCO, Frank James","D","NY",11,-.0427641,19,2,3,3,.7735386,.8148148,0,,0,-.0427641,1,-.3594455,.1806121,.9812224
91,"House",5873,-.1600598,"MACDONALD, Torbert Hart","D","MA",7,.0235578,19,0,3,1,.8304163,.9565217,0,,0,.0235578,1,-.0340129,.1806121,.9812224
91,"House",11019,-.3315685,"GUDE, Gilbert","R","MD",8,-.1447303,22,1,8,0,.7817465,.9677419,0,,0,-.1447303,1,-.5016058,.1806121,.9812224
91,"House",11016,.3124016,"ESHLEMAN, Edwin Duing","R","PA",16,.4871475,17,1,8,3,.6983163,.862069,0,,0,.4871475,1,.3394709,.1806121,.9812224
91,"House",11021,-.0643738,"HECKLER, Margaret M.","R","MA",10,.1174471,17,1,1,5,.6128387,.75,0,,0,.1174471,1,-.1385845,.1806121,.9812224
91,"House",4724,.4933711,"HULL, William Raleigh, Jr.","D","MO",6,.6647189,11,4,7,0,.6667238,.8181818,0,,0,.6647189,1,.490649,.1806121,.9812224
91,"House",10585,-.6514836,"FRASER, Donald MacKay","D","MN",5,-.4586381,20,1,7,1,.911083,.9310345,0,,0,-.4586381,1,-.5193136,.1806121,.9812224
91,"House",11030,.4811817,"McDONALD, Jack H.","R","MI",19,.6527584,12,2,10,2,.7402236,.8461539,0,,0,.6527584,1,.478774,.1806121,.9812224
91,"House",10564,.3553896,"THOMSON, Vernon Wallace","R","WI",3,.5293283,17,2,10,2,.7885976,.8709677,0,,0,.5293283,1,.3124973,.1806121,.9812224
91,"House",11048,.4823793,"SCOTT, William Lloyd","R","VA",8,.6539335,13,3,11,1,.7812099,.8571429,0,,0,.6539335,1,.4799407,.1806121,.9812224
91,"House",11050,.6422383,"STEIGER, Sam","R","AZ",3,.8107908,11,3,10,4,.7295667,.75,0,,0,.8107908,1,.8288095,.1806121,.9812224
91,"House",11052,.3291718,"STUCKEY, Williamson Sylvester, Jr.","D","GA",8,.5036029,8,4,8,1,.5711955,.7619048,0,,0,.5036029,1,.3890699,.1806121,.9812224
91,"House",11055,.5714084,"WIGGINS, Charles Edward","R","CA",25,.7412909,11,1,12,1,.7666205,.92,0,,0,.7412909,1,.4745962,.1806121,.9812224
91,"House",11057,.407718,"WINN, Edward Lawrence, Jr. (Larry)","R","KS",3,.5806742,14,1,9,3,.7638423,.8518519,0,,0,.5806742,1,.4276677,.1806121,.9812224
91,"House",11061,-.1596653,"TIERNAN, Robert Owens","D","RI",2,.023945,18,5,6,0,.7462385,.8275862,0,,0,.023945,1,-.1135177,.1806121,.9812224
91,"House",11062,.5755661,"PRICE, Robert Dale","R","TX",18,.7453705,14,1,9,5,.7023965,.7931035,0,,0,.7453705,1,.6106178,.1806121,.9812224
91,"House",1577,.4195841,"CASEY, Robert Randolph","D","TX",22,.5923174,15,3,12,0,.7330347,.9,0,,0,.5923174,1,.4069217,.1806121,.9812224
91,"House",10756,.0135988,"MEEDS, Edwin Lloyd","D","WA",2,.1939556,22,3,5,1,.7340605,.8709677,0,,0,.1939556,1,-.0310879,.1806121,.9812224
91,"House",12008,-1.203205,"CHISHOLM, Shirley Anita","D","NY",12,-1,12,0,3,0,.9739155,1,0,,0,-1,1,-.693271,.1806121,.9812224
91,"House",12011,.5484489,"DANIEL, Wilbur Clarence (Dan)","D","VA",5,.7187625,17,1,13,0,.801123,.9677419,0,,0,.7187625,1,.6187628,.1806121,.9812224
91,"House",10540,-.3254343,"NEDZI, Lucien Norbert","D","MI",14,-.1387113,21,3,6,1,.8135121,.8709677,0,,0,-.1387113,1,-.1851053,.1806121,.9812224
91,"House",4957,.3834815,"JOHNSON, Harold Terry","D","CA",2,.5568928,17,3,12,0,.8101049,.90625,0,,0,.5568928,1,.2046697,.1806121,.9812224
91,"House",12020,.6794614,"LANDGREBE, Earl Fredrick","R","IN",2,.8473149,6,5,6,4,.5239304,.5714286,0,,0,.8473149,1,.9069946,.1806121,.9812224
91,"House",10749,.3638324,"McEWEN, Robert Cameron","R","NY",31,.5376127,13,2,11,1,.7311211,.8888889,0,,0,.5376127,1,.4347765,.1806121,.9812224
91,"House",12026,.4652404,"MIZELL, Wilmer David (Vinegar Bend)","R","NC",5,.6371164,14,4,9,3,.6311832,.7666667,0,,0,.6371164,1,.4552054,.1806121,.9812224
91,"House",10501,.24393,"ANDERSON, John Bayard","R","IL",16,.4199618,17,1,10,1,.7678879,.9310345,0,,0,.4199618,1,.1234275,.1806121,.9812224
91,"House",10631,.4421066,"TALCOTT, Burt Lacklen","R","CA",12,.614417,18,1,9,2,.781599,.9,0,,0,.614417,1,.3743977,.1806121,.9812224
91,"House",10597,.3889268,"HUTCHINSON, J. Edward","R","MI",4,.5622358,17,0,9,3,.8056943,.8965517,0,,0,.5622358,1,.4735119,.1806121,.9812224
91,"House",12035,-.0427613,"YATRON, Gus","D","PA",6,.1386538,16,3,5,0,.6415533,.875,0,,0,.1386538,1,.0572627,.1806121,.9812224
91,"House",12036,-.386538,"OBEY, David Ross","D","WI",7,-.1986676,23,0,5,2,.8470685,.9333333,0,,0,-.1986676,1,-.2566554,.1806121,.9812224
91,"House",11056,.3800621,"WILLIAMS, Lawrence Gordon","R","PA",7,.5535375,19,0,9,2,.8073509,.9333333,0,,0,.5535375,1,.3802632,.1806121,.9812224
91,"House",12025,-1.177812,"MIKVA, Abner Joseph","D","IL",2,-.9750832,23,0,9,0,.962968,1,0,,0,-.9750832,1,-.9517761,.1806121,.9812224
91,"House",12044,-.1491131,"CARNEY, Charles Joseph","D","OH",19,.034299,20,2,4,2,.7947008,.8571429,0,,0,.034299,1,-.0711979,.1806121,.9812224
91,"House",11067,.0166507,"GAYDOS, Joseph Matthew","D","PA",20,.1969502,10,5,4,0,.6236779,.7368421,0,,0,.1969502,1,.1085477,.1806121,.9812224
91,"House",12046,.2544787,"FORSYTHE, Edwin Bell","R","NJ",6,.4303124,16,1,8,3,.654714,.8571429,0,,0,.4303124,1,.2618114,.1806121,.9812224
91,"House",10606,.1882129,"McCLORY, Robert","R","IL",12,.3652909,14,1,6,3,.675211,.8333333,0,,0,.3652909,1,.2217859,.1806121,.9812224
91,"House",10793,-.2505501,"WALDIE, Jerome Russell","D","CA",14,-.0652332,22,0,5,3,.8400028,.9,0,,0,-.0652332,1,-.3796657,.1806121,.9812224
91,"House",7467,.3893525,"PIRNIE, Alexander","R","NY",32,.5626535,16,0,12,0,.8650677,1,0,,0,.5626535,1,.3893139,.1806121,.9812224
91,"House",10572,.2311649,"BROTZMAN, Donald Glenn","R","CO",2,.4074363,17,2,10,1,.7732801,.9,0,,0,.4074363,1,.1939707,.1806121,.9812224
91,"House",3769,.3419848,"GRAY, Kenneth James","D","IL",21,.5161753,14,2,9,0,.815309,.92,0,,0,.5161753,1,.3431682,.1806121,.9812224
91,"House",3321,.3841231,"FOUNTAIN, Lawrence H.","D","NC",2,.5575224,16,3,11,1,.7858434,.8709677,0,,0,.5575224,1,.3824643,.1806121,.9812224
91,"House",11001,-.0604534,"BIESTER, Edward George, Jr.","R","PA",8,.1212939,23,3,4,2,.7663528,.84375,0,,0,.1212939,1,-.0945233,.1806121,.9812224
91,"House",10574,.2317773,"BROYHILL, James Thomas","R","NC",10,.4080372,14,1,8,1,.795738,.9166667,0,,0,.4080372,1,.4441866,.1806121,.9812224
91,"House",11065,.612732,"GRIFFIN, Charles Hudson","D","MS",3,.7818385,12,4,13,2,.6523664,.8064516,0,,0,.7818385,1,.6069305,.1806121,.9812224
91,"House",3268,.3421645,"FORD, Gerald Rudolph, Jr.","R","MI",5,.5163516,18,0,10,1,.8410382,.9655172,0,,0,.5163516,1,.3433433,.1806121,.9812224
91,"House",11066,.5253817,"COLLINS, James Mitchell","R","TX",3,.6961284,12,4,8,2,.6006504,.7692308,0,,0,.6961284,1,.9571026,.1806121,.9812224
91,"House",6584,.2592958,"MOLLOHAN, Robert Homer","D","WV",1,.435039,12,0,8,1,.8142363,.952381,0,,0,.435039,1,.212645,.1806121,.9812224
91,"House",10528,.4324028,"ICHORD, Richard Howard, II","D","MO",8,.6048954,14,4,11,0,.7052298,.862069,0,,0,.6048954,1,.5606986,.1806121,.9812224
91,"House",3242,.5595677,"FLYNT, John James, Jr.","D","GA",6,.7296725,13,2,11,1,.7810391,.8888889,0,,0,.7296725,1,.6217524,.1806121,.9812224
91,"House",10783,.3171122,"WHITE, Richard Crawford","D","TX",16,.4917698,16,4,9,3,.6546091,.78125,0,,0,.4917698,1,.3252419,.1806121,.9812224
91,"House",6936,-.0281915,"NIX, Robert Nelson Cornelius, Sr.","D","PA",2,.15295,18,4,6,0,.7189337,.8571429,0,,0,.15295,1,-.0633088,.1806121,.9812224
91,"House",12005,.3872753,"CAFFERY, Patrick Thomson","D","LA",3,.5606154,12,4,11,1,.7665037,.8214286,0,,0,.5606154,1,.3872903,.1806121,.9812224
91,"House",4592,.3843474,"HOSMER, Craig","R","CA",32,.5577424,17,0,11,0,.8446243,1,0,,0,.5577424,1,.3501757,.1806121,.9812224
91,"House",10530,.4753431,"KING, Carleton James","R","NY",30,.6470295,15,1,12,1,.6691157,.9310345,0,,0,.6470295,1,.4730861,.1806121,.9812224
91,"House",4891,.3879755,"JARMAN, John","D","OK",5,.5613024,19,1,10,2,.7925938,.90625,0,,0,.5613024,1,.3162245,.1806121,.9812224
91,"House",11064,-.35147,"PODELL, Bertram L.","D","NY",13,-.1642581,16,0,7,2,.8609273,.92,0,,0,-.1642581,1,-.4555997,.1806121,.9812224
91,"House",11000,.4412968,"BEVILL, Tom","D","AL",7,.6136224,13,4,9,0,.7184694,.8461539,0,,0,.6136224,1,.2946858,.1806121,.9812224
91,"House",10075,.6194288,"WHITTEN, Jamie Lloyd","D","MS",2,.7884095,11,2,10,2,.7115422,.84,0,,0,.7884095,1,.3457311,.1806121,.9812224
91,"House",6532,.5189591,"MILLS, Wilbur Daigh","D","AR",2,.6898264,8,2,6,1,.6899458,.8235294,0,,0,.6898264,1,.4149988,.1806121,.9812224
91,"House",11007,.09323,"BURKE, J. Herbert","R","FL",10,.2720915,13,2,6,4,.6298978,.76,0,,0,.2720915,1,.1454222,.1806121,.9812224
91,"House",1077,.3253503,"BROOKS, Jack Bascom","D","TX",9,.4998531,12,3,11,0,.8032068,.8846154,0,,0,.4998531,1,.1734994,.1806121,.9812224
91,"House",6240,.4834079,"McFALL, John Joseph","D","CA",15,.6549428,15,3,9,1,.7287464,.8571429,0,,0,.6549428,1,.2622435,.1806121,.9812224
91,"House",10616,.519665,"QUILLEN, James Henry","R","TN",1,.6905191,15,2,9,1,.7976196,.8888889,0,,0,.6905191,1,.5408164,.1806121,.9812224
91,"House",12039,.0617029,"MELCHER, John","D","MT",2,.2411564,14,7,4,3,.4280644,.6428571,0,,0,.2411564,1,.006735,.1806121,.9812224
91,"House",10521,.4994847,"GOODLING, George Atlee","R","PA",19,.6707177,19,0,10,3,.7828445,.90625,0,,0,.6707177,1,.52851,.1806121,.9812224
91,"House",3553,.1284917,"GIAIMO, Robert Nicholas","D","CT",3,.306691,11,4,8,3,.6290946,.7307692,0,,0,.306691,1,.0547543,.1806121,.9812224
91,"House",10505,.066117,"BELL, Alphonzo","R","CA",28,.2454876,14,5,6,2,.6459091,.7407407,0,,0,.2454876,1,.1202234,.1806121,.9812224
91,"House",6756,-.2147219,"MOSS, John Emerson","D","CA",3,-.0300778,20,1,4,2,.8254084,.8888889,0,,0,-.0300778,1,-.3618799,.1806121,.9812224
91,"House",11020,.5447376,"HAMMERSCHMIDT, John Paul","R","AR",3,.7151209,16,3,11,2,.733306,.84375,0,,0,.7151209,1,.6421834,.1806121,.9812224
91,"House",10728,.4947302,"GETTYS, Thomas Smithwick","D","SC",5,.6660525,7,4,10,1,.7193795,.7727273,0,,0,.6660525,1,.491973,.1806121,.9812224
91,"House",12001,-.5602616,"ANDERSON, Glenn Malcolm","D","CA",17,-.3691291,18,1,6,1,.8527601,.9230769,0,,0,-.3691291,1,-.0810425,.1806121,.9812224
91,"House",12004,.2103761,"BURLISON, Bill D.","D","MO",10,.3870379,14,4,8,4,.5526361,.7333333,0,,0,.3870379,1,.1691975,.1806121,.9812224
91,"House",10713,-1.123321,"CONYERS, John, Jr.","D","MI",1,-.9216159,17,0,7,0,.9684982,1,0,,0,-.9216159,1,-.5162787,.1806121,.9812224
91,"House",4276,-.4797523,"HECHLER, Kenneth William","D","WV",4,-.2901315,23,0,8,1,.8501469,.96875,0,,0,-.2901315,1,-.3905151,.1806121,.9812224
91,"House",10767,.5858967,"SATTERFIELD, David Edward, III","D","VA",3,.7555071,14,2,12,4,.7514625,.8125,0,,0,.7555071,1,.721988,.1806121,.9812224
91,"House",12041,.7595702,"CRANE, Philip Miller","R","IL",13,.9259195,10,0,11,3,.716584,.875,0,,0,.9259195,1,.9210337,.1806121,.9812224
91,"House",11037,.4511293,"NICHOLS, William Flynt","D","AL",4,.6232703,11,5,12,0,.7203947,.8214286,0,,0,.6232703,1,.4228992,.1806121,.9812224
91,"House",6685,.0926239,"MORGAN, Thomas Ellsworth","D","PA",26,.2714968,15,3,8,2,.7133043,.8214286,0,,0,.2714968,1,.0387952,.1806121,.9812224
91,"House",2594,-.0112474,"DIGGS, Charles Coles, Jr.","D","MI",13,.1695759,13,1,3,0,.7834821,.9411765,0,,0,.1695759,1,-.0694498,.1806121,.9812224
91,"House",226,.44472,"ARENDS, Leslie Cornelius","R","IL",17,.6169814,16,1,6,1,.8028681,.9166667,0,,0,.6169814,1,.4263031,.1806121,.9812224
91,"House",7642,-.1917867,"PUCINSKI, Roman Conrad","D","IL",11,-.0075733,18,2,3,1,.8496531,.875,0,,0,-.0075733,1,-.1768325,.1806121,.9812224
91,"House",10638,.1600241,"WYDLER, John Waldemar","R","NY",4,.3376313,12,3,7,4,.6607974,.7307692,0,,0,.3376313,1,.0877359,.1806121,.9812224
91,"House",10742,-.0530309,"JACOBS, Andrew, Jr.","D","IN",11,.1285771,22,4,2,4,.6332262,.75,0,,0,.1285771,1,.1155753,.1806121,.9812224
91,"House",11046,.3627294,"SANDMAN, Charles William, Jr.","R","NJ",2,.5365304,16,0,11,0,.9070126,1,0,,0,.5365304,1,.3633777,.1806121,.9812224
91,"House",12048,.3938892,"WARE, John Haines, III","R","PA",9,.567105,17,0,9,2,.8122877,.9285714,0,,0,.567105,1,.3799762,.1806121,.9812224
91,"House",9240,.3640328,"TEAGUE, Charles McKevett","R","CA",13,.5378093,18,0,10,1,.8442476,.9655172,0,,0,.5378093,1,.3243723,.1806121,.9812224
91,"House",2513,.0937495,"DENT, John Herman","D","PA",21,.2726013,14,3,4,2,.7028601,.7826087,0,,0,.2726013,1,.1189201,.1806121,.9812224
91,"House",12017,.297074,"HASTINGS, James Fred","R","NY",38,.4721078,15,2,8,0,.822577,.92,0,,0,.4721078,1,.2638358,.1806121,.9812224
91,"House",11035,.731894,"MONTGOMERY, Gillespie V. (Sonny)","D","MS",4,.8987629,8,4,13,3,.6538655,.75,0,,0,.8987629,1,.5145087,.1806121,.9812224
91,"House",2476,.1262424,"DELANEY, James Joseph","D","NY",9,.304484,9,4,7,4,.6089981,.6666667,0,,0,.304484,1,.0331922,.1806121,.9812224
91,"House",2383,.5049866,"DAVIS, Glenn Robert","R","WI",9,.6761163,16,2,9,2,.7197639,.862069,0,,0,.6761163,1,.534161,.1806121,.9812224
91,"House",12006,.7385049,"CAMP, John Newbold Happy","R","OK",6,.9052497,12,1,14,3,.7303532,.8666667,0,,0,.9052497,1,.7579994,.1806121,.9812224
91,"House",12029,.4662168,"SEBELIUS, Keith George","R","KS",1,.6380745,17,2,10,2,.7266666,.8709677,0,,0,.6380745,1,.4891516,.1806121,.9812224
91,"House",10595,-1.1432,"HAWKINS, Augustus Freeman (Gus)","D","CA",21,-.9411209,11,0,6,0,.9879076,1,0,,0,-.9411209,1,-.621718,.1806121,.9812224
91,"House",11011,.1376662,"DELLENBACK, John Richard","R","OR",4,.3156933,19,2,7,4,.6765798,.8125,0,,0,.3156933,1,.1275055,.1806121,.9812224
91,"House",7043,-.1219824,"O'HARA, James Grant","D","MI",12,.0609203,17,4,6,0,.7564123,.8518519,0,,0,.0609203,1,-.0885009,.1806121,.9812224
91,"House",10640,-.1584514,"WILSON, Charles Herbert","D","CA",31,.0251361,15,4,4,1,.6449689,.7916667,0,,0,.0251361,1,-.0343535,.1806121,.9812224
91,"House",11047,.6297268,"SCHERLE, William Joseph","R","IA",7,.7985141,11,3,7,1,.6775841,.8181818,0,,0,.7985141,1,.6403704,.1806121,.9812224
91,"House",1611,-.0074383,"CELLER, Emanuel","D","NY",10,.1733135,16,4,4,0,.7433037,.8333333,0,,0,.1733135,1,.0027598,.1806121,.9812224
91,"House",7081,.009614,"O'NEILL, Thomas Philip, Jr. (Tip)","D","MA",8,.1900456,20,4,5,0,.7531444,.862069,0,,0,.1900456,1,-.0226152,.1806121,.9812224
91,"House",10633,-.3711374,"VAN DEERLIN, Lionel","D","CA",37,-.1835561,13,0,4,3,.8060319,.85,0,,0,-.1835561,1,-.2553507,.1806121,.9812224
91,"House",10786,.2540174,"BROWN, Clarence J., Jr.","R","OH",7,.4298597,17,1,8,3,.7565421,.862069,0,,0,.4298597,1,.3850938,.1806121,.9812224
91,"House",10539,.0220639,"MOSHER, Charles Adams","R","OH",13,.2022617,21,3,5,2,.7062341,.8387097,0,,0,.2022617,1,.023321,.1806121,.9812224
91,"House",10639,.4339634,"WYMAN, Louis Crosby","R","NH",1,.6064268,18,1,9,3,.7604182,.8709677,0,,0,.6064268,1,.3878312,.1806121,.9812224
91,"House",11023,.2988388,"KAZEN, Abraham, Jr.","D","TX",23,.4738395,17,3,11,1,.7591682,.875,0,,0,.4738395,1,.3854194,.1806121,.9812224
91,"House",12013,-.0635192,"FISH, Hamilton, Jr.","R","NY",28,.1182857,19,2,3,2,.7029938,.8461539,0,,0,.1182857,1,.004403,.1806121,.9812224
91,"House",12022,.0922079,"LUJÁN, Manuel, Jr.","R","NM",1,.2710886,16,2,4,6,.5735649,.7142857,0,,0,.2710886,1,.3737273,.1806121,.9812224
91,"House",8628,.6388117,"SMITH, H. Allen","R","CA",20,.8074285,9,3,10,3,.6677997,.76,0,,0,.8074285,1,.6323373,.1806121,.9812224
91,"House",10732,-.0703591,"HAMILTON, Lee Herbert","D","IN",9,.1115742,24,2,5,1,.7937633,.90625,0,,0,.1115742,1,.0375947,.1806121,.9812224
91,"House",6845,.4169054,"NATCHER, William Huston","D","KY",2,.589689,17,3,11,1,.7959613,.875,0,,0,.589689,1,.1404152,.1806121,.9812224
91,"House",10721,.4271594,"EDWARDS, William Jackson (Jack)","R","AL",1,.5997505,14,3,11,0,.7452413,.8928571,0,,0,.5997505,1,.4015869,.1806121,.9812224
91,"House",10722,.3754478,"ERLENBORN, John Neal","R","IL",14,.5490099,14,0,9,3,.6960219,.8846154,0,,0,.5490099,1,.4390759,.1806121,.9812224
91,"House",7046,.0844006,"O'KONSKI, Alvin Edward","R","WI",10,.2634279,18,1,3,3,.6867048,.84,0,,0,.2634279,1,.0922294,.1806121,.9812224
91,"House",11013,-.1617628,"ECKHARDT, Robert Christian","D","TX",8,.0218868,22,1,4,3,.7812886,.8666667,0,,0,.0218868,1,-.356411,.1806121,.9812224
91,"House",10723,.3099726,"EVANS, Frank Edward","D","CO",3,.4847642,13,2,9,1,.7456537,.88,0,,0,.4847642,1,.1720163,.1806121,.9812224
91,"House",1368,.0199043,"BYRNE, James Aloysius","D","PA",3,.2001427,15,4,6,0,.7002745,.84,0,,0,.2001427,1,.029397,.1806121,.9812224
91,"House",2605,-.288678,"DINGELL, John David, Jr.","D","MI",16,-.1026451,23,0,5,2,.8687015,.9333333,0,,0,-.1026451,1,-.1157026,.1806121,.9812224
91,"House",8814,.3942995,"SPRINGER, William Lee","R","IL",22,.5675076,14,2,6,2,.7235131,.8333333,0,,0,.5675076,1,.3941333,.1806121,.9812224
