congress,chamber,icpsr,adjust_d1,last_name,first_name,state,d1,district_code,party_code,bioguide_id,d1_previous,d1_rolling,d1_norm,group,x_d1,a_d1,b_d1
92,"House",10768,58.77396,"SCHEUER","James","NY",69,22,100,"S000124",,0,69,1,81.56685,12.97744,.9531867
92,"House",2,-5.221896,"ABBITT","Watkins","VA",8,4,100,"A000002",,0,8,1,-5.221896,12.97744,.9531867
92,"House",12036,82.90355,"OBEY","David","WI",92,7,100,"O000007",,0,92,1,83.06038,12.97744,.9531867
92,"House",11023,10.51479,"KAZEN","Abraham","TX",23,23,100,"K000025",,0,23,1,14.60962,12.97744,.9531867
92,"House",13022,18.90769,"LINK","Arthur","ND",31,2,100,"L000333",,0,31,1,18.90769,12.97744,.9531867
92,"House",10713,67.16686,"CONYERS","John","MI",77,1,100,"C000714",,0,77,1,81.18634,12.97744,.9531867
92,"House",10551,75.55976,"ROSENTHAL","Benjamin","NY",85,8,100,"R000442",,0,85,1,76.06064,12.97744,.9531867
92,"House",6756,75.55976,"MOSS","John","CA",85,3,100,"M001035",,0,85,1,68.1068,12.97744,.9531867
92,"House",10719,18.90769,"DUNCAN","John","TN",31,2,200,"D000534",,0,31,1,12.9135,12.97744,.9531867
92,"House",835,34.64437,"BOLLING","Richard","MO",46,5,100,"B000605",,0,46,1,40.76152,12.97744,.9531867
92,"House",4275,-13.6148,"HEBERT","Felix","LA",0,1,100,"H000437",,0,0,1,-9.896786,12.97744,.9531867
92,"House",5058,26.25148,"JONES","Robert","AL",38,8,100,"J000248",,0,38,1,19.58853,12.97744,.9531867
92,"House",11054,91.29645,"WHALEN","Charles","OH",100,3,200,"W000317",,0,100,1,82.42582,12.97744,.9531867
92,"House",10538,38.84082,"MORSE","Frank","MA",50,5,200,"M001009",,0,50,1,38.84083,12.97744,.9531867
92,"House",10715,75.55976,"CULVER","John","IA",85,2,100,"C000979",,0,85,1,71.77877,12.97744,.9531867
92,"House",13034,2.121891,"POWELL","Walter","OH",15,24,200,"P000485",,0,15,1,1.535352,12.97744,.9531867
92,"House",948,75.55976,"BRADEMAS","John","IN",85,3,100,"B000736",,0,85,1,77.74001,12.97744,.9531867
92,"House",1154,26.25148,"BROYHILL","Joel","VA",38,10,200,"B000967",,0,38,1,15.41876,12.97744,.9531867
92,"House",10501,58.77396,"ANDERSON","John","IL",69,16,200,"A000195",,0,69,1,37.14448,12.97744,.9531867
92,"House",8824,18.90769,"STAGGERS","Harley","WV",31,2,100,"S000778",,0,31,1,47.20727,12.97744,.9531867
92,"House",275,2.121891,"ASPINALL","Wayne","CO",15,4,100,"A000225",,0,15,1,2.121891,12.97744,.9531867
92,"House",7642,58.77396,"PUCINSKI","Roman","IL",69,11,100,"P000559",,0,69,1,58.77396,12.97744,.9531867
92,"House",10784,58.77396,"WOLFF","Lester","NY",69,3,100,"W000680",,0,69,1,72.63293,12.97744,.9531867
92,"House",10572,43.03728,"BROTZMAN","Donald","CO",54,2,200,"B000893",,0,54,1,47.05799,12.97744,.9531867
92,"House",4247,34.64437,"HAYS","Wayne","OH",46,18,100,"H000408",,0,46,1,42.62244,12.97744,.9531867
92,"House",10559,26.25148,"SHRIVER","Garner","KS",38,4,200,"S000388",,0,38,1,20.63362,12.97744,.9531867
92,"House",1620,26.25148,"CHAMBERLAIN","Charles","MI",38,6,200,"C000275",,0,38,1,16.72988,12.97744,.9531867
92,"House",8268,10.51479,"SCHNEEBELI","Herman","PA",23,17,200,"S000135",,0,23,1,9.113038,12.97744,.9531867
92,"House",13005,10.51479,"BAKER","LaMar","TN",23,3,200,"B000069",,0,23,1,8.963802,12.97744,.9531867
92,"House",10639,10.51479,"WYMAN","Louis","NH",23,1,200,"W000782",,0,23,1,5.554891,12.97744,.9531867
92,"House",2476,34.64437,"DELANEY","James","NY",46,9,100,"D000211",,0,46,1,46.88136,12.97744,.9531867
92,"House",10638,51.43018,"WYDLER","John","NY",62,4,200,"W000780",,0,62,1,44.08806,12.97744,.9531867
92,"House",13025,18.90769,"MCCOLLISTER","John","NE",31,2,200,"M000349",,0,31,1,17.7444,12.97744,.9531867
92,"House",10563,2.121891,"STEPHENS","Robert","GA",15,10,100,"S000860",,0,15,1,5.729378,12.97744,.9531867
92,"House",13043,43.03728,"STANTON","James","OH",54,20,100,"S000803",,0,54,1,49.49508,12.97744,.9531867
92,"House",13027,-5.221896,"MCKAY","Koln","UT",8,1,100,"M000490",,0,8,1,12.20035,12.97744,.9531867
92,"House",7043,82.90355,"O'HARA","James","MI",92,12,100,"O000055",,0,92,1,65.41542,12.97744,.9531867
92,"House",13028,26.25148,"MCKEVITT","James","CO",38,1,200,"M000513",,0,38,1,26.25148,12.97744,.9531867
92,"House",3268,10.51479,"FORD","Gerald","MI",23,5,200,"F000260",,0,23,1,10.27492,12.97744,.9531867
92,"House",11051,34.64437,"STEIGER","William","WI",46,6,200,"S000847",,0,46,1,39.91271,12.97744,.9531867
92,"House",7824,91.29645,"REUSS","Henry","WI",100,5,100,"R000165",,0,100,1,89.45599,12.97744,.9531867
92,"House",1611,34.64437,"CELLER","Emanuel","NY",46,10,100,"C000264",,0,46,1,34.64438,12.97744,.9531867
92,"House",13053,1.072779,"ANDREWS","Elizabeth","AL",14,3,100,"A000205",,0,14,1,1.072779,12.97744,.9531867
92,"House",2009,75.55976,"CONTE","Silvio","MA",85,1,200,"C000709",,0,85,1,79.04507,12.97744,.9531867
92,"House",13038,18.90769,"RUNNELS","Harold","NM",31,2,100,"R000510",,0,31,1,4.567472,12.97744,.9531867
92,"House",5495,34.64437,"LATTA","Delbert","OH",46,5,200,"L000116",,0,46,1,14.16191,12.97744,.9531867
92,"House",3867,18.90769,"GUBSER","Charles","CA",31,10,200,"G000512",,0,31,1,12.98334,12.97744,.9531867
92,"House",10605,34.64437,"MATSUNAGA","Spark","HI",46,1,100,"M000250",,0,46,1,49.69899,12.97744,.9531867
92,"House",10579,26.25148,"CLAUSEN","Donald","CA",38,1,200,"C000475",,0,38,1,23.42184,12.97744,.9531867
92,"House",10510,18.90769,"CLANCY","Donald","OH",31,2,200,"C000409",,0,31,1,9.661572,12.97744,.9531867
92,"House",13035,67.16686,"RANGEL","Charles","NY",77,18,100,"R000053",,0,77,1,82.36871,12.97744,.9531867
92,"House",12004,51.43018,"BURLISON","Bill","MO",62,10,100,"B001113",,0,62,1,42.22559,12.97744,.9531867
92,"House",11013,82.90355,"ECKHARDT","Robert","TX",92,8,100,"E000035",,0,92,1,86.43566,12.97744,.9531867
92,"House",12018,26.25148,"HOGAN","Lawrence","MD",38,5,200,"H000692",,0,38,1,22.49881,12.97744,.9531867
92,"House",12031,67.16686,"SYMINGTON","James","MO",77,2,100,"S001134",,0,77,1,57.10618,12.97744,.9531867
92,"House",7500,9.465678,"POFF","Richard","VA",22,6,200,"P000401",,0,22,1,9.465678,12.97744,.9531867
92,"House",11048,-5.221896,"SCOTT","William","VA",8,8,200,"S000189",,0,8,1,-5.221896,12.97744,.9531867
92,"House",7343,26.25148,"PERKINS","Carl","KY",38,7,100,"P000230",,0,38,1,44.51188,12.97744,.9531867
92,"House",8672,34.64437,"SMITH","Neal","IA",46,5,100,"S000596",,0,46,1,40.26607,12.97744,.9531867
92,"House",12046,34.64437,"FORSYTHE","Edwin","NJ",46,6,200,"F000286",,0,46,1,32.32129,12.97744,.9531867
92,"House",8814,2.121891,"SPRINGER","William","IL",15,22,200,"S000756",,0,15,1,2.121891,12.97744,.9531867
92,"House",10740,26.25148,"HUNGATE","William","MO",38,9,100,"H000965",,0,38,1,37.05313,12.97744,.9531867
92,"House",12005,10.51479,"CAFFERY","Patrick","LA",23,3,100,"C000017",,0,23,1,10.51479,12.97744,.9531867
92,"House",10564,18.90769,"THOMSON","Vernon","WI",31,3,200,"T000233",,0,31,1,18.75227,12.97744,.9531867
92,"House",12007,2.121891,"CHAPPELL","William","FL",15,4,100,"C000321",,0,15,1,10.83087,12.97744,.9531867
92,"House",10587,18.90769,"FUQUA","Don","FL",31,2,100,"F000430",,0,31,1,33.60537,12.97744,.9531867
92,"House",10737,75.55976,"HELSTOSKI","Henry","NJ",85,9,100,"H000465",,0,85,1,68.48159,12.97744,.9531867
92,"House",12043,-5.221896,"SCHMITZ","John","CA",8,35,200,"S000133",,0,8,1,-5.221896,12.97744,.9531867
92,"House",11005,26.25148,"BRINKLEY","Jack","GA",38,3,100,"B000839",,0,38,1,35.47269,12.97744,.9531867
92,"House",12040,75.55976,"HARRINGTON","Michael","MA",85,6,100,"H000230",,0,85,1,66.81509,12.97744,.9531867
92,"House",10788,2.121891,"JONES","Walter","NC",15,1,100,"J000256",,0,15,1,24.92943,12.97744,.9531867
92,"House",10580,-13.6148,"CLAWSON","Delwin","CA",0,23,200,"C000476",,0,0,1,-4.54417,12.97744,.9531867
92,"House",7845,2.121891,"RHODES","John","AZ",15,1,200,"R000188",,0,15,1,4.381099,12.97744,.9531867
92,"House",13039,91.29645,"SARBANES","Paul","MD",100,4,100,"S000064",,0,100,1,91.55771,12.97744,.9531867
92,"House",10522,-13.6148,"HAGAN","George","GA",0,1,100,"H000010",,0,0,1,-13.6148,12.97744,.9531867
92,"House",13021,51.43018,"LENT","Norman","NY",62,5,200,"L000243",,0,62,1,30.77328,12.97744,.9531867
92,"House",11059,10.51479,"ZION","Roger","IN",23,8,200,"Z000010",,0,23,1,4.243772,12.97744,.9531867
92,"House",10569,18.90769,"ANDREWS","Mark","ND",31,1,200,"A000208",,0,31,1,21.18007,12.97744,.9531867
92,"House",13041,10.51479,"SHOUP","Richard","MT",23,1,200,"S000383",,0,23,1,18.92831,12.97744,.9531867
92,"House",10597,18.90769,"HUTCHINSON","J.","MI",31,4,200,"H001011",,0,31,1,11.34863,12.97744,.9531867
92,"House",1371,2.121891,"BYRNES","John","WI",15,8,200,"B001216",,0,15,1,2.121891,12.97744,.9531867
92,"House",10611,34.64437,"MURPHY","John","NY",46,16,100,"M001098",,0,46,1,40.66824,12.97744,.9531867
92,"House",11000,18.90769,"BEVILL","Tom","AL",31,7,100,"B000431",,0,31,1,23.20121,12.97744,.9531867
92,"House",13042,18.90769,"SPENCE","Floyd","SC",31,2,200,"S000718",,0,31,1,13.44876,12.97744,.9531867
92,"House",11017,18.90769,"GALIFIANAKIS","Nick","NC",31,4,100,"G000015",,0,31,1,18.90769,12.97744,.9531867
92,"House",12044,82.90355,"CARNEY","Charles","OH",92,19,100,"C000164",,0,92,1,66.00062,12.97744,.9531867
92,"House",10534,-13.6148,"MARTIN","David","NE",0,3,200,"M000175",,0,0,1,-7.804074,12.97744,.9531867
92,"House",11014,75.55976,"EILBERG","Joshua","PA",85,4,100,"E000096",,0,85,1,64.89209,12.97744,.9531867
92,"House",13050,67.16686,"HEINZ","Henry","PA",77,18,200,"H000456",,0,77,1,58.69621,12.97744,.9531867
92,"House",10600,-5.221896,"LLOYD","Sherman","UT",8,2,200,"L000382",,0,8,1,-5.221896,12.97744,.9531867
92,"House",10525,10.51479,"HARSHA","William","OH",23,6,200,"H000281",,0,23,1,13.20213,12.97744,.9531867
92,"House",12010,75.55976,"COUGHLIN","Robert","PA",85,13,200,"C000807",,0,85,1,63.74607,12.97744,.9531867
92,"House",13047,67.16686,"YOUNG","Charles","FL",77,8,200,"Y000031",,0,77,1,24.63689,12.97744,.9531867
92,"House",13046,18.90769,"VEYSEY","Victor","CA",31,38,200,"V000093",,0,31,1,15.8678,12.97744,.9531867
92,"House",11042,-5.221896,"RARICK","John","LA",8,6,100,"R000065",,0,8,1,-3.784534,12.97744,.9531867
92,"House",10511,58.77396,"CORMAN","James","CA",69,22,100,"C000780",,0,69,1,55.04676,12.97744,.9531867
92,"House",9072,34.64437,"SULLIVAN","Leonor","MO",46,3,100,"S001057",,0,46,1,44.37366,12.97744,.9531867
92,"House",8080,2.121891,"ROSTENKOWSKI","Daniel","IL",15,8,100,"R000458",,0,15,1,36.8241,12.97744,.9531867
92,"House",680,-5.221896,"BETTS","Jackson","OH",8,8,200,"B000426",,0,8,1,-5.221896,12.97744,.9531867
92,"House",10502,2.121891,"ASHBROOK","John","OH",15,17,200,"A000221",,0,15,1,2.511281,12.97744,.9531867
92,"House",13045,18.90769,"THONE","Charles","NE",31,1,200,"T000234",,0,31,1,30.75287,12.97744,.9531867
92,"House",13018,51.43018,"HILLIS","Elwood","IN",62,5,200,"H000624",,0,62,1,26.46928,12.97744,.9531867
92,"House",5098,82.90355,"KARTH","Joseph","MN",92,4,100,"K000014",,0,92,1,65.26455,12.97744,.9531867
92,"House",11025,-13.6148,"KUYKENDALL","Dan","TN",0,9,200,"K000348",,0,0,1,-4.919611,12.97744,.9531867
92,"House",10706,51.43018,"BUCHANAN","John","AL",62,6,200,"B001008",,0,62,1,42.63256,12.97744,.9531867
92,"House",1368,43.03728,"BYRNE","James","PA",54,3,100,"B001212",,0,54,1,43.03728,12.97744,.9531867
92,"House",6584,-13.6148,"MOLLOHAN","Robert","WV",0,1,100,"M000845",,0,0,1,24.10028,12.97744,.9531867
92,"House",11007,43.03728,"BURKE","J.","FL",54,10,200,"B001091",,0,54,1,25.48001,12.97744,.9531867
92,"House",10091,51.43018,"WIDNALL","William","NJ",62,7,200,"W000445",,0,62,1,41.37525,12.97744,.9531867
92,"House",10539,58.77396,"MOSHER","Charles","OH",69,13,200,"M001031",,0,69,1,50.18127,12.97744,.9531867
92,"House",13051,10.51479,"CURLIN","William","KY",23,6,100,"C000997",,0,23,1,10.51479,12.97744,.9531867
92,"House",13052,58.77396,"MALLARY","Richard","VT",69,1,200,"M000078",,0,69,1,45.90847,12.97744,.9531867
92,"House",13006,43.03728,"BEGICH","Nicholas","AK",54,1,100,"B000315",,0,54,1,43.03728,12.97744,.9531867
92,"House",10561,58.77396,"ST. GERMAIN","Fernand","RI",69,1,100,"S000762",,0,69,1,70.018,12.97744,.9531867
92,"House",12003,51.43018,"BIAGGI","Mario","NY",62,24,100,"B000432",,0,62,1,51.59897,12.97744,.9531867
92,"House",3830,18.90769,"GRIFFITHS","Martha","MI",31,17,100,"G000471",,0,31,1,32.91236,12.97744,.9531867
92,"House",13003,75.55976,"ASPIN","Leslie","WI",85,1,100,"A000224",,0,85,1,72.56097,12.97744,.9531867
92,"House",9322,18.90769,"THOMPSON","Frank","NJ",31,4,100,"T000200",,0,31,1,52.52749,12.97744,.9531867
92,"House",10756,67.16686,"MEEDS","Edwin","WA",77,2,100,"M000626",,0,77,1,63.38068,12.97744,.9531867
92,"House",9241,10.51479,"TEAGUE","Olin","TX",23,6,100,"T000110",,0,23,1,3.695076,12.97744,.9531867
92,"House",13049,2.121891,"MILLS","William","MD",15,1,200,"M000779",,0,15,1,-4.495798,12.97744,.9531867
92,"House",9056,10.51479,"STUBBLEFIELD","Frank","KY",23,1,100,"S001037",,0,23,1,4.243772,12.97744,.9531867
92,"House",10595,34.64437,"HAWKINS","Augustus","CA",46,21,100,"H000367",,0,46,1,59.40187,12.97744,.9531867
92,"House",1610,2.121891,"CEDERBERG","Elford","MI",15,10,200,"C000263",,0,15,1,6.12958,12.97744,.9531867
92,"House",10463,51.43018,"ZABLOCKI","Clement","WI",62,4,100,"Z000001",,0,62,1,45.87898,12.97744,.9531867
92,"House",1282,-13.6148,"BURLESON","Omar","TX",0,17,100,"B001111",,0,0,1,-4.927478,12.97744,.9531867
92,"House",8549,18.90769,"SISK","Bernice","CA",31,16,100,"S000454",,0,31,1,21.69908,12.97744,.9531867
92,"House",8010,67.16686,"RODINO","Peter","NJ",77,10,100,"R000374",,0,77,1,67.50423,12.97744,.9531867
92,"House",1941,10.51479,"COLLIER","Harold","IL",23,10,200,"C000629",,0,23,1,11.58604,12.97744,.9531867
92,"House",7671,43.03728,"QUIE","Albert","MN",54,1,200,"Q000010",,0,54,1,31.06944,12.97744,.9531867
92,"House",590,-5.221896,"BELCHER","Page","OK",8,1,200,"B000323",,0,8,1,-5.221896,12.97744,.9531867
92,"House",12020,10.51479,"LANDGREBE","Earl","IN",23,2,200,"L000049",,0,23,1,5.817115,12.97744,.9531867
92,"House",8049,18.90769,"ROONEY","John","NY",31,14,100,"R000424",,0,31,1,6.952191,12.97744,.9531867
92,"House",10620,51.43018,"ROONEY","Frederick","PA",62,15,100,"R000423",,0,62,1,59.63372,12.97744,.9531867
92,"House",10545,82.90355,"PIKE","Otis","NY",92,1,100,"P000348",,0,92,1,76.7329,12.97744,.9531867
92,"House",633,26.25148,"BENNETT","Charles","FL",38,3,100,"B000371",,0,38,1,48.8894,12.97744,.9531867
92,"House",10712,26.25148,"CONABLE","Barber","NY",38,37,200,"C000666",,0,38,1,24.45122,12.97744,.9531867
92,"House",12022,51.43018,"LUJAN","Manuel","NM",62,1,200,"L000506",,0,62,1,13.98598,12.97744,.9531867
92,"House",6204,2.121891,"MCCULLOCH","William","OH",15,4,200,"M000393",,0,15,1,2.121891,12.97744,.9531867
92,"House",6936,75.55976,"NIX","Robert","PA",85,2,100,"N000113",,0,85,1,57.80694,12.97744,.9531867
92,"House",8288,26.25148,"SCHWENGEL","Frederick","IA",38,1,200,"S000161",,0,38,1,26.25148,12.97744,.9531867
92,"House",10446,10.51479,"YOUNG","John","TX",23,14,100,"Y000043",,0,23,1,9.802346,12.97744,.9531867
92,"House",2854,2.121891,"EDMONDSON","Edmond","OK",15,2,100,"E000054",,0,15,1,2.121891,12.97744,.9531867
92,"House",12038,10.51479,"JONES","Ed","TN",23,8,100,"J000216",,0,23,1,22.7226,12.97744,.9531867
92,"House",13056,-13.6148,"BREAUX","John","LA",0,7,100,"B000780",,0,0,1,8.230793,12.97744,.9531867
92,"House",7232,-5.221896,"PATMAN","John","TX",8,1,100,"P000103",,0,8,1,14.72716,12.97744,.9531867
92,"House",7081,67.16686,"O'NEILL","Thomas","MA",77,8,100,"O000098",,0,77,1,42.26842,12.97744,.9531867
92,"House",12045,34.64437,"COLLINS","George","IL",46,6,100,"C000637",,0,46,1,34.64438,12.97744,.9531867
92,"House",6240,34.64437,"MCFALL","John","CA",46,15,100,"M000436",,0,46,1,37.68585,12.97744,.9531867
92,"House",7610,82.90355,"PRICE","Charles","IL",92,24,100,"P000522",,0,92,1,61.93628,12.97744,.9531867
92,"House",13004,67.16686,"BADILLO","Herman","NY",77,21,100,"B000025",,0,77,1,72.5867,12.97744,.9531867
92,"House",986,18.90769,"BRAY","William","IN",31,6,200,"B000778",,0,31,1,6.952191,12.97744,.9531867
92,"House",6685,75.55976,"MORGAN","Thomas","PA",85,26,100,"M000958",,0,85,1,54.63148,12.97744,.9531867
92,"House",6661,67.16686,"MOORHEAD","William","PA",77,14,100,"M000930",,0,77,1,64.00967,12.97744,.9531867
92,"House",6586,26.25148,"MONAGAN","John","CT",38,5,100,"M000847",,0,38,1,26.25148,12.97744,.9531867
92,"House",10577,75.55976,"BURTON","Phillip","CA",85,5,100,"B001156",,0,85,1,83.18779,12.97744,.9531867
92,"House",6548,58.77396,"MINSHALL","William","OH",69,23,200,"M000799",,0,69,1,28.60169,12.97744,.9531867
92,"House",6532,-13.6148,"MILLS","Wilbur","AR",0,2,100,"M000778",,0,0,1,-.4373931,12.97744,.9531867
92,"House",6483,34.64437,"MILLER","George","CA",46,8,100,"M000727",,0,46,1,34.64438,12.97744,.9531867
92,"House",11052,10.51479,"STUCKEY","Williamson","GA",23,8,100,"S001039",,0,23,1,11.57194,12.97744,.9531867
92,"House",13019,67.16686,"KEATING","William","OH",77,1,200,"K000037",,0,77,1,48.09244,12.97744,.9531867
92,"House",2660,67.16686,"DONOHUE","Harold","MA",77,4,100,"D000419",,0,77,1,61.9903,12.97744,.9531867
92,"House",1077,26.25148,"BROOKS","Jack","TX",38,9,100,"B000880",,0,38,1,32.89433,12.97744,.9531867
92,"House",3769,2.121891,"GRAY","Kenneth","IL",15,21,100,"G000400",,0,15,1,14.38432,12.97744,.9531867
92,"House",465,58.77396,"BARRETT","William","PA",69,1,100,"B000178",,0,69,1,39.35878,12.97744,.9531867
92,"House",5019,-5.221896,"JONAS","Charles","NC",8,9,200,"J000206",,0,8,1,-5.221896,12.97744,.9531867
92,"House",10523,2.121891,"HALL","Durward","MO",15,7,200,"H000049",,0,15,1,2.121891,12.97744,.9531867
92,"House",10505,43.03728,"BELL","Alphonzo","CA",54,28,200,"B000330",,0,54,1,32.71876,12.97744,.9531867
92,"House",4724,2.121891,"HULL","William","MO",15,6,100,"H000947",,0,15,1,2.121891,12.97744,.9531867
92,"House",10793,58.77396,"WALDIE","Jerome","CA",69,14,100,"W000035",,0,69,1,69.50861,12.97744,.9531867
92,"House",10726,82.90355,"FOLEY","Thomas","WA",92,5,100,"F000239",,0,92,1,52.26755,12.97744,.9531867
92,"House",1763,18.90769,"CLARK","Frank","PA",31,25,100,"C000431",,0,31,1,28.979,12.97744,.9531867
92,"House",10500,67.16686,"ADDABBO","Joseph","NY",77,7,100,"A000052",,0,77,1,66.0984,12.97744,.9531867
92,"House",10626,10.51479,"SNYDER","Marion","KY",23,4,200,"S000669",,0,23,1,8.860255,12.97744,.9531867
92,"House",93033,75.55976,"PEYSER","Peter","NY",85,25,200,"P000280",,0,85,1,49.38221,12.97744,.9531867
92,"House",5929,34.64437,"MAILLIARD","William","CA",46,6,200,"M000070",,0,46,1,36.74508,12.97744,.9531867
92,"House",3967,67.16686,"HALPERN","Seymour","NY",77,6,200,"H000085",,0,77,1,67.16686,12.97744,.9531867
92,"House",3553,-5.221896,"GIAIMO","Robert","CT",8,3,100,"G000151",,0,8,1,30.61169,12.97744,.9531867
92,"House",12028,10.51479,"RUTH","Earl","NC",23,8,200,"R000545",,0,23,1,4.505996,12.97744,.9531867
92,"House",2706,18.90769,"DOWNING","Thomas","VA",31,1,100,"D000474",,0,31,1,11.24408,12.97744,.9531867
92,"House",11019,91.29645,"GUDE","Gilbert","MD",100,8,200,"G000513",,0,100,1,88.32696,12.97744,.9531867
92,"House",7717,26.25148,"RANDALL","William","MO",38,4,100,"R000041",,0,38,1,24.57644,12.97744,.9531867
92,"House",10727,75.55976,"FORD","William","MI",85,15,100,"F000270",,0,85,1,68.90045,12.97744,.9531867
92,"House",4891,26.25148,"JARMAN","John","OK",38,5,100,"J000057",,0,38,1,19.35212,12.97744,.9531867
92,"House",10785,10.51479,"WYATT","Wendell","OR",23,1,200,"W000778",,0,23,1,15.78162,12.97744,.9531867
92,"House",10791,18.90769,"PRYOR","David","AR",31,4,100,"P000556",,0,31,1,18.90769,12.97744,.9531867
92,"House",10566,82.90355,"UDALL","Morris","AZ",92,2,100,"U000001",,0,92,1,68.61028,12.97744,.9531867
92,"House",9975,2.121891,"WHALLEY","John","PA",15,12,200,"W000320",,0,15,1,2.121891,12.97744,.9531867
92,"House",10614,18.90769,"PICKLE","James","TX",31,10,100,"P000328",,0,31,1,39.0959,12.97744,.9531867
92,"House",13024,75.55976,"MAZZOLI","Romano","KY",85,3,100,"M000291",,0,85,1,51.84615,12.97744,.9531867
92,"House",10583,82.90355,"EDWARDS","William","CA",92,9,100,"E000064",,0,92,1,91.3111,12.97744,.9531867
92,"House",13,-13.6148,"ABERNETHY","Thomas","MS",0,1,100,"A000016",,0,0,1,-13.6148,12.97744,.9531867
92,"House",8032,58.77396,"ROGERS","Paul","FL",69,9,100,"R000401",,0,69,1,61.02609,12.97744,.9531867
92,"House",12029,2.121891,"SEBELIUS","Keith","KS",15,1,200,"S000217",,0,15,1,5.442746,12.97744,.9531867
92,"House",11037,2.121891,"NICHOLS","William","AL",15,4,100,"N000095",,0,15,1,4.476242,12.97744,.9531867
92,"House",6845,26.25148,"NATCHER","William","KY",38,2,100,"N000009",,0,38,1,40.91488,12.97744,.9531867
92,"House",12026,2.121891,"MIZELL","Wilmer","NC",15,5,200,"M000833",,0,15,1,13.33543,12.97744,.9531867
92,"House",5436,2.121891,"LANDRUM","Phillip","GA",15,9,100,"L000054",,0,15,1,3.394422,12.97744,.9531867
92,"House",11021,51.43018,"HECKLER","Margaret","MA",62,10,200,"H000440",,0,62,1,69.75398,12.97744,.9531867
92,"House",11045,51.43018,"RUPPE","Philip","MI",62,11,200,"R000512",,0,62,1,27.40767,12.97744,.9531867
92,"House",10555,79.75621,"RYAN","William","NY",89,20,100,"R000562",,0,89,1,79.75621,12.97744,.9531867
92,"House",12015,26.25148,"FREY","Louis","FL",38,5,200,"F000381",,0,38,1,18.90955,12.97744,.9531867
92,"House",11047,10.51479,"SCHERLE","William","IA",23,7,200,"S000121",,0,23,1,7.390459,12.97744,.9531867
92,"House",11050,2.121891,"STEIGER","Sam","AZ",15,3,200,"S000846",,0,15,1,-1.321815,12.97744,.9531867
