congress,chamber,icpsr,adjust_d1,district_code,state_abbrev,party_code,bioname,d1,d1_previous,d1_rolling,d1_norm,group,x_d1,a_d1,b_d1
91,"House",10539,-.0760152,13,"OH","R","MOSHER, Charles Adams",-.158,,0,-.158,1,-.2653129,-.0887191,.9114075
91,"House",10552,-.2471791,5,"IN","R","ROUDEBUSH, Richard Lowell",-.314,,0,-.314,1,-.2471791,-.0887191,.9114075
91,"House",10594,-2.026844,34,"CA","D","HANNA, Richard Thomas",-1.936,,0,-1.936,1,-.9017977,-.0887191,.9114075
91,"House",6548,-.1199034,23,"OH","R","MINSHALL, William Edwin, Jr.",-.198,,0,-.198,1,-.1703815,-.0887191,.9114075
91,"House",2706,-.5675627,1,"VA","D","DOWNING, Thomas Nelms",-.606,,0,-.606,1,.4859293,-.0887191,.9114075
91,"House",11009,-.1429447,29,"NY","R","BUTTON, Daniel Evan",-.219,,0,-.219,1,-.1429447,-.0887191,.9114075
91,"House",5019,1.759607,9,"NC","R","JONAS, Charles Raper",1.515,,0,1.515,1,1.597096,-.0887191,.9114075
91,"House",2295,-.321789,1,"CT","D","DADDARIO, Emilio Quincy",-.382,,0,-.382,1,-.3217889,-.0887191,.9114075
91,"House",7925,-.2021937,1,"SC","D","RIVERS, Lucius Mendel",-.273,,0,-.273,1,-.2021937,-.0887191,.9114075
91,"House",10607,.2246187,10,"PA","R","McDADE, Joseph Michael",.116,,0,.116,1,-.1316639,-.0887191,.9114075
91,"House",11060,1.582957,6,"MN","R","ZWACH, John Matthew",1.354,,0,1.354,1,.5245584,-.0887191,.9114075
91,"House",12025,-2.035622,2,"IL","D","MIKVA, Abner Joseph",-1.944,,0,-1.944,1,-1.600436,-.0887191,.9114075
91,"House",5451,1.680609,7,"MN","R","LANGEN, Odin Elsford Stanley",1.443,,0,1.443,1,1.680608,-.0887191,.9114075
91,"House",11053,-1.285134,5,"GA","R","THOMPSON, Standish Fletcher",-1.26,,0,-1.26,1,-.0816817,-.0887191,.9114075
91,"House",11041,-.230721,19,"IL","R","RAILSBACK, Thomas Fisher",-.299,,0,-.299,1,.1185309,-.0887191,.9114075
91,"House",7043,-.0310299,12,"MI","D","O'HARA, James Grant",-.117,,0,-.117,1,-.4249752,-.0887191,.9114075
91,"House",5385,-.1100286,4,"IA","R","KYL, John Henry",-.189,,0,-.189,1,.3723473,-.0887191,.9114075
91,"House",1577,-.1023481,22,"TX","D","CASEY, Robert Randolph",-.182,,0,-.182,1,.5047743,-.0887191,.9114075
91,"House",10783,-.2032909,16,"TX","D","WHITE, Richard Crawford",-.274,,0,-.274,1,.3599441,-.0887191,.9114075
91,"House",6532,2.306015,2,"AR","D","MILLS, Wilbur Daigh",2.013,,0,2.013,1,.8199637,-.0887191,.9114075
91,"House",9802,-.1495279,9,"VA","R","WAMPLER, William Creed",-.225,,0,-.225,1,.5831564,-.0887191,.9114075
91,"House",10522,.1620781,1,"GA","D","HAGAN, George Elliott",.059,,0,.059,1,.8020013,-.0887191,.9114075
91,"House",6584,-.117709,1,"WV","D","MOLLOHAN, Robert Homer",-.196,,0,-.196,1,.156748,-.0887191,.9114075
91,"House",8080,.000789,8,"IL","D","ROSTENKOWSKI, Daniel David",-.088,,0,-.088,1,-.4536311,-.0887191,.9114075
91,"House",10553,.2037718,24,"CA","R","ROUSSELOT, John Harbin",.097,,0,.097,1,1.766802,-.0887191,.9114075
91,"House",5098,-.0968621,4,"MN","D","KARTH, Joseph Edward",-.177,,0,-.177,1,-.8816153,-.0887191,.9114075
91,"House",10564,1.644401,3,"WI","R","THOMSON, Vernon Wallace",1.41,,0,1.41,1,.5940294,-.0887191,.9114075
91,"House",11006,1.589541,3,"MI","R","BROWN, Garry Eldridge",1.36,,0,1.36,1,.3602493,-.0887191,.9114075
91,"House",10566,-2.13437,2,"AZ","D","UDALL, Morris King",-2.034,,0,-2.034,1,-.8589603,-.0887191,.9114075
91,"House",5929,.1642725,6,"CA","R","MAILLIARD, William Somers",.061,,0,.061,1,-.2678286,-.0887191,.9114075
91,"House",5058,.2465628,8,"AL","D","JONES, Robert Emmett, Jr.",.136,,0,.136,1,.2847454,-.0887191,.9114075
91,"House",2329,-.2438875,14,"NJ","D","DANIELS, Dominick Vincent",-.311,,0,-.311,1,-.5907457,-.0887191,.9114075
91,"House",4275,.2125494,1,"LA","D","HÉBERT, Felix Edward",.105,,0,.105,1,.6091119,-.0887191,.9114075
91,"House",10586,-.1418475,5,"TN","D","FULTON, Richard Harmon",-.218,,0,-.218,1,-.4518418,-.0887191,.9114075
91,"House",10567,.2114522,4,"LA","D","WAGGONNER, Joseph David, Jr.",.104,,0,.104,1,1.161718,-.0887191,.9114075
91,"House",789,-.3415386,8,"MN","D","BLATNIK, John Anton",-.4,,0,-.4,1,-.3655035,-.0887191,.9114075
91,"House",4276,-2.048788,4,"WV","D","HECHLER, Kenneth William",-1.956,,0,-1.956,1,-1.05443,-.0887191,.9114075
91,"House",12043,.1500088,35,"CA","R","SCHMITZ, John George",.048,,0,.048,1,1.672339,-.0887191,.9114075
91,"House",12040,-2.011483,6,"MA","D","HARRINGTON, Michael Joseph",-1.922,,0,-1.922,1,-1.57224,-.0887191,.9114075
91,"House",1077,-.0935705,9,"TX","D","BROOKS, Jack Bascom",-.174,,0,-.174,1,-.0503186,-.0887191,.9114075
91,"House",12039,-1.954429,2,"MT","D","MELCHER, John",-1.87,,0,-1.87,1,-.7255275,-.0887191,.9114075
91,"House",8474,-.0562656,23,"IL","D","SHIPLEY, George Edward",-.14,,0,-.14,1,.1677632,-.0887191,.9114075
91,"House",3967,-.0507796,6,"NY","R","HALPERN, Seymour",-.135,,0,-.135,1,-1.010927,-.0887191,.9114075
91,"House",11055,.1247731,25,"CA","R","WIGGINS, Charles Edward",.025,,0,.025,1,.5741324,-.0887191,.9114075
91,"House",10790,-1.891888,26,"CA","D","REES, Thomas Mankell",-1.813,,0,-1.813,1,-1.243749,-.0887191,.9114075
91,"House",7343,-.0463907,7,"KY","D","PERKINS, Carl Dewey",-.131,,0,-.131,1,-.41277,-.0887191,.9114075
91,"House",6860,-.0409047,2,"MN","R","NELSEN, Ancher",-.126,,0,-.126,1,.1705252,-.0887191,.9114075
91,"House",9578,1.929674,35,"CA","R","UTT, James Boyd",1.67,,0,1.67,1,1.929674,-.0887191,.9114075
91,"House",10786,.1050234,7,"OH","R","BROWN, Clarence J., Jr.",.007,,0,.007,1,.5235366,-.0887191,.9114075
91,"House",2433,.0644269,1,"IL","D","DAWSON, William Levi",-.03,,0,-.03,1,.0644269,-.0887191,.9114075
91,"House",12035,-.165986,6,"PA","D","YATRON, Gus",-.24,,0,-.24,1,-.277249,-.0887191,.9114075
91,"House",10585,-.4819807,5,"MN","D","FRASER, Donald MacKay",-.528,,0,-.528,1,-1.21957,-.0887191,.9114075
91,"House",6661,-.1308755,14,"PA","D","MOORHEAD, William Singer",-.208,,0,-.208,1,-.6388434,-.0887191,.9114075
91,"House",3769,.1379396,21,"IL","D","GRAY, Kenneth James",.037,,0,.037,1,.3345867,-.0887191,.9114075
91,"House",3575,-.0760152,22,"NY","D","GILBERT, Jacob H.",-.158,,0,-.158,1,-.0760152,-.0887191,.9114075
91,"House",12026,1.605999,5,"NC","R","MIZELL, Wilmer David (Vinegar Bend)",1.375,,0,1.375,1,.9943926,-.0887191,.9114075
91,"House",10794,-.3470246,9,"MI","R","VANDER JAGT, Guy Adrian",-.405,,0,-.405,1,.5352395,-.0887191,.9114075
91,"House",12028,-.1133202,8,"NC","R","RUTH, Earl Baker",-.192,,0,-.192,1,.7513197,-.0887191,.9114075
91,"House",1393,.0282191,6,"NJ","R","CAHILL, William Thomas",-.063,,0,-.063,1,.0282191,-.0887191,.9114075
91,"House",10732,-.1473335,9,"IN","D","HAMILTON, Lee Herbert",-.223,,0,-.223,1,-.360633,-.0887191,.9114075
91,"House",3034,1.694872,4,"TN","D","EVINS, Joseph Landon",1.456,,0,1.456,1,.8299585,-.0887191,.9114075
91,"House",3374,-.2877756,7,"MD","D","FRIEDEL, Samuel Nathaniel",-.351,,0,-.351,1,-.2877757,-.0887191,.9114075
91,"House",10610,.2279103,1,"MD","R","MORTON, Rogers Clark Ballard",.119,,0,.119,1,.2279103,-.0887191,.9114075
91,"House",2525,1.586249,4,"IL","R","DERWINSKI, Edward Joseph",1.357,,0,1.357,1,.5569705,-.0887191,.9114075
91,"House",12023,-.123195,4,"SC","D","MANN, James Robert",-.201,,0,-.201,1,.360377,-.0887191,.9114075
91,"House",10529,-.0518768,8,"NJ","D","JOELSON, Charles Samuel",-.136,,0,-.136,1,-.0518768,-.0887191,.9114075
91,"House",10546,-.0979593,13,"TX","D","PURCELL, Graham Boynton, Jr.",-.178,,0,-.178,1,.5419818,-.0887191,.9114075
91,"House",10788,-.1857356,1,"NC","D","JONES, Walter Beaman, Sr.",-.258,,0,-.258,1,.189382,-.0887191,.9114075
91,"House",10710,-.1133202,5,"KY","R","CARTER, Tim Lee",-.192,,0,-.192,1,.1637647,-.0887191,.9114075
91,"House",10606,-.0880845,12,"IL","R","McCLORY, Robert",-.169,,0,-.169,1,.1395849,-.0887191,.9114075
91,"House",12020,4.201983,2,"IN","R","LANDGREBE, Earl Fredrick",3.741,,0,3.741,1,2.956113,-.0887191,.9114075
91,"House",12018,-.0661404,5,"MD","R","HOGAN, Lawrence Joseph",-.149,,0,-.149,1,.0797141,-.0887191,.9114075
91,"House",11057,1.631234,3,"KS","R","WINN, Edward Lawrence, Jr. (Larry)",1.398,,0,1.398,1,.6363775,-.0887191,.9114075
91,"House",10611,-.1133202,16,"NY","D","MURPHY, John Michael",-.192,,0,-.192,1,-.4180884,-.0887191,.9114075
91,"House",2672,3.764199,3,"SC","D","DORN, William Jennings Bryan",3.342,,0,3.342,1,1.716265,-.0887191,.9114075
91,"House",7408,-.0705292,3,"MA","D","PHILBIN, Philip Joseph",-.153,,0,-.153,1,-.0705292,-.0887191,.9114075
91,"House",10598,1.593929,23,"PA","R","JOHNSON, Albert Walter",1.364,,0,1.364,1,.8697819,-.0887191,.9114075
91,"House",11047,3.591938,7,"IA","R","SCHERLE, William Joseph",3.185,,0,3.185,1,1.998156,-.0887191,.9114075
91,"House",3480,-.2175546,3,"MD","D","GARMATZ, Edward Alexander",-.287,,0,-.287,1,.220635,-.0887191,.9114075
91,"House",12016,-.1297782,2,"ID","R","HANSEN, Orval Howard",-.207,,0,-.207,1,.195473,-.0887191,.9114075
91,"House",10587,-.134167,2,"FL","D","FUQUA, Don",-.211,,0,-.211,1,.1093761,-.0887191,.9114075
91,"House",10626,1.773871,4,"KY","R","SNYDER, Marion Gene",1.528,,0,1.528,1,.7414326,-.0887191,.9114075
91,"House",3056,-2.07183,19,"NY","D","FARBSTEIN, Leonard",-1.977,,0,-1.977,1,-2.07183,-.0887191,.9114075
91,"House",12005,-.1813468,3,"LA","D","CAFFERY, Patrick Thomson",-.254,,0,-.254,1,.342459,-.0887191,.9114075
91,"House",1368,-.0869873,3,"PA","D","BYRNE, James Aloysius",-.168,,0,-.168,1,-.3217779,-.0887191,.9114075
91,"House",10510,-.0902789,2,"OH","R","CLANCY, Donald Daniel",-.171,,0,-.171,1,.6503116,-.0887191,.9114075
91,"House",2804,-.1846384,12,"NJ","R","DWYER, Florence Price",-.257,,0,-.257,1,-.3946427,-.0887191,.9114075
91,"House",10728,.3277559,5,"SC","D","GETTYS, Thomas Smithwick",.21,,0,.21,1,.7554834,-.0887191,.9114075
91,"House",10579,-.0946677,1,"CA","R","CLAUSEN, Donald Holst",-.175,,0,-.175,1,.177873,-.0887191,.9114075
91,"House",10736,-.1923189,2,"ME","D","HATHAWAY, William Dodd",-.264,,0,-.264,1,-.2213747,-.0887191,.9114075
91,"House",10620,-.1100286,15,"PA","D","ROONEY, Frederick Bernard",-.189,,0,-.189,1,-.500078,-.0887191,.9114075
91,"House",10758,-.0288355,2,"KS","R","MIZE, Chester Louis",-.115,,0,-.115,1,-.0288355,-.0887191,.9114075
91,"House",10580,1.75083,23,"CA","R","CLAWSON, Delwin Morgan",1.507,,0,1.507,1,1.427491,-.0887191,.9114075
91,"House",12002,-.1275838,6,"MD","R","BEALL, John Glenn, Jr.",-.205,,0,-.205,1,-.1275838,-.0887191,.9114075
91,"House",7717,-.2614427,4,"MO","D","RANDALL, William Joseph",-.327,,0,-.327,1,.34572,-.0887191,.9114075
91,"House",10640,-1.899568,31,"CA","D","WILSON, Charles Herbert",-1.82,,0,-1.82,1,-.6749699,-.0887191,.9114075
91,"House",12024,.2816733,27,"NY","R","McKNEALLY, Martin Boswell",.168,,0,.168,1,.2816733,-.0887191,.9114075
91,"House",7313,.1192871,1,"WA","R","PELLY, Thomas Minor",.02,,0,.02,1,-.0767104,-.0887191,.9114075
91,"House",12031,-2.145342,2,"MO","D","SYMINGTON, James Wadsworth",-2.044,,0,-2.044,1,-.8257592,-.0887191,.9114075
91,"House",10744,-.0979593,5,"WV","D","KEE, James",-.178,,0,-.178,1,.3270578,-.0887191,.9114075
91,"House",11058,1.589541,15,"OH","R","WYLIE, Chalmers Pangburn",1.36,,0,1.36,1,.4880358,-.0887191,.9114075
91,"House",10738,-.1813468,6,"WA","D","HICKS, Floyd Verne",-.254,,0,-.254,1,-.211063,-.0887191,.9114075
91,"House",11067,-.3942044,20,"PA","D","GAYDOS, Joseph Matthew",-.448,,0,-.448,1,-.1501033,-.0887191,.9114075
91,"House",11051,1.650984,6,"WI","R","STEIGER, William Albert",1.416,,0,1.416,1,.1471733,-.0887191,.9114075
91,"House",267,.1763417,9,"OH","D","ASHLEY, Thomas William Ludlow",.072,,0,.072,1,-.676163,-.0887191,.9114075
91,"House",11027,-.0123774,1,"ME","D","KYROS, Peter Nicholas",-.1,,0,-.1,1,-.1795311,-.0887191,.9114075
91,"House",5495,-.1111258,5,"OH","R","LATTA, Delbert Leroy",-.19,,0,-.19,1,.8048146,-.0887191,.9114075
91,"House",3364,-.1681804,5,"NJ","R","FRELINGHUYSEN, Peter Hood Ballantine, Jr.",-.242,,0,-.242,1,-.0624749,-.0887191,.9114075
91,"House",11019,-.0398075,8,"MD","R","GUDE, Gilbert",-.125,,0,-.125,1,-1.205991,-.0887191,.9114075
91,"House",10703,-.0913761,7,"IL","D","ANNUNZIO, Frank",-.172,,0,-.172,1,-.578671,-.0887191,.9114075
91,"House",6101,.3091034,4,"WA","R","MAY, Catherine Dean",.193,,0,.193,1,.3091034,-.0887191,.9114075
91,"House",11048,-.230721,8,"VA","R","SCOTT, William Lloyd",-.299,,0,-.299,1,.4722681,-.0887191,.9114075
91,"House",10600,-.1407503,2,"UT","R","LLOYD, Sherman Parkinson",-.217,,0,-.217,1,.5240489,-.0887191,.9114075
91,"House",12022,1.556625,1,"NM","R","LUJÁN, Manuel, Jr.",1.33,,0,1.33,1,.6581289,-.0887191,.9114075
91,"House",11045,.1829249,11,"MI","R","RUPPE, Philip Edward",.078,,0,.078,1,.1928813,-.0887191,.9114075
91,"House",10791,-.0836957,4,"AR","D","PRYOR, David Hampton",-.165,,0,-.165,1,-.4443723,-.0887191,.9114075
91,"House",11054,-.0222522,3,"OH","R","WHALEN, Charles William, Jr.",-.109,,0,-.109,1,-.9057317,-.0887191,.9114075
91,"House",10596,-.1912217,36,"NY","R","HORTON, Frank Jefferson",-.263,,0,-.263,1,-.2702454,-.0887191,.9114075
91,"House",10571,.0391912,3,"TN","R","BROCK, William Emerson, III",-.053,,0,-.053,1,.0391912,-.0887191,.9114075
91,"House",6756,.1225787,3,"CA","D","MOSS, John Emerson",.023,,0,.023,1,-1.044431,-.0887191,.9114075
91,"House",11024,.086371,2,"ND","R","KLEPPE, Thomas Savig",-.01,,0,-.01,1,.086371,-.0887191,.9114075
91,"House",12015,-.1056397,5,"FL","R","FREY, Louis, Jr.",-.185,,0,-.185,1,.1628339,-.0887191,.9114075
91,"House",8010,.1906054,10,"NJ","D","RODINO, Peter Wallace, Jr.",.085,,0,.085,1,-1.126476,-.0887191,.9114075
91,"House",11037,-.106737,4,"AL","D","NICHOLS, William Flynt",-.186,,0,-.186,1,.6113487,-.0887191,.9114075
91,"House",10778,-.1583055,24,"PA","D","VIGORITO, Joseph Phillip",-.233,,0,-.233,1,-.1516766,-.0887191,.9114075
91,"House",10592,-.1188062,2,"NY","R","GROVER, James Russell, Jr.",-.197,,0,-.197,1,.2869403,-.0887191,.9114075
91,"House",11014,-.1418475,4,"PA","D","EILBERG, Joshua",-.218,,0,-.218,1,-.849227,-.0887191,.9114075
91,"House",8247,-.4051765,22,"PA","R","SAYLOR, John Phillips",-.458,,0,-.458,1,-.3170097,-.0887191,.9114075
91,"House",12021,-1.914929,5,"NY","D","LOWENSTEIN, Allard Kenneth",-1.834,,0,-1.834,1,-1.914929,-.0887191,.9114075
91,"House",2255,2.245669,2,"NE","R","CUNNINGHAM, Glenn Clarence",1.958,,0,1.958,1,2.245668,-.0887191,.9114075
91,"House",10701,-.434801,6,"TN","D","ANDERSON, William Robert",-.485,,0,-.485,1,-.4393893,-.0887191,.9114075
91,"House",10614,-.1396531,10,"TX","D","PICKLE, James Jarrell (Jake)",-.216,,0,-.216,1,-.0553869,-.0887191,.9114075
91,"House",11034,1.580763,10,"OH","R","MILLER, Clarence E.",1.352,,0,1.352,1,.9035279,-.0887191,.9114075
91,"House",10737,-2.011483,9,"NJ","D","HELSTOSKI, Henry",-1.922,,0,-1.922,1,-1.2436,-.0887191,.9114075
91,"House",1911,-2.067441,7,"CA","D","COHELAN, Jeffery",-1.973,,0,-1.973,1,-2.067441,-.0887191,.9114075
91,"House",10613,-.1056397,15,"NJ","D","PATTEN, Edward James",-.185,,0,-.185,1,-.5362604,-.0887191,.9114075
91,"House",3775,-.1001537,3,"OR","D","GREEN, Edith Starrett",-.18,,0,-.18,1,-.0911963,-.0887191,.9114075
91,"House",11008,1.692678,7,"TX","R","BUSH, George Herbert Walker",1.454,,0,1.454,1,1.692678,-.0887191,.9114075
91,"House",11062,1.603804,18,"TX","R","PRICE, Robert Dale",1.373,,0,1.373,1,1.553116,-.0887191,.9114075
91,"House",11010,-.3503163,3,"KY","R","COWGER, William Owen",-.408,,0,-.408,1,-.3503163,-.0887191,.9114075
91,"House",1941,-2.061955,10,"IL","R","COLLIER, Harold Reginald",-1.968,,0,-1.968,1,-.0141693,-.0887191,.9114075
91,"House",590,-.1407503,1,"OK","R","BELCHER, Page Henry",-.217,,0,-.217,1,.6583087,-.0887191,.9114075
91,"House",11065,.1949942,3,"MS","D","GRIFFIN, Charles Hudson",.089,,0,.089,1,.959259,-.0887191,.9114075
91,"House",10555,-1.934679,20,"NY","D","RYAN, William Fitts",-1.852,,0,-1.852,1,-1.8968,-.0887191,.9114075
91,"House",10767,1.6839,3,"VA","D","SATTERFIELD, David Edward, III",1.446,,0,1.446,1,1.425357,-.0887191,.9114075
91,"House",10749,-.2098741,31,"NY","R","McEWEN, Robert Cameron",-.28,,0,-.28,1,.6648834,-.0887191,.9114075
91,"House",10603,-.1703748,7,"VA","D","MARSH, John Otho, Jr.",-.244,,0,-.244,1,-.1703748,-.0887191,.9114075
91,"House",12010,-.1583055,13,"PA","R","COUGHLIN, Robert Lawrence",-.233,,0,-.233,1,-.267258,-.0887191,.9114075
91,"House",12029,-.0145718,1,"KS","R","SEBELIUS, Keith George",-.102,,0,-.102,1,.808289,-.0887191,.9114075
91,"House",10501,-.1561111,16,"IL","R","ANDERSON, John Bayard",-.231,,0,-.231,1,-.1142441,-.0887191,.9114075
91,"House",10633,-2.011483,37,"CA","D","VAN DEERLIN, Lionel",-1.922,,0,-1.922,1,-.9147243,-.0887191,.9114075
91,"House",10757,-.0496823,98,"HI","D","MINK, Patsy Takemoto",-.134,,0,-.134,1,-.8816229,-.0887191,.9114075
91,"House",11012,1.742052,1,"NE","R","DENNEY, Robert Vernon",1.499,,0,1.499,1,1.742052,-.0887191,.9114075
91,"House",8021,-.0672376,1,"CO","D","ROGERS, Byron Giles",-.15,,0,-.15,1,-.0672376,-.0887191,.9114075
91,"House",10463,-.1133202,4,"WI","D","ZABLOCKI, Clement John",-.192,,0,-.192,1,-.4786832,-.0887191,.9114075
91,"House",11030,-.1264866,19,"MI","R","McDONALD, Jack H.",-.204,,0,-.204,1,.4796791,-.0887191,.9114075
91,"House",11064,-.0990565,13,"NY","D","PODELL, Bertram L.",-.179,,0,-.179,1,-1.099301,-.0887191,.9114075
91,"House",9975,.0424828,12,"PA","R","WHALLEY, John Irving",-.05,,0,-.05,1,.4384276,-.0887191,.9114075
91,"House",11028,-.1462363,24,"OH","R","LUKENS, Donald Edgar",-.222,,0,-.222,1,.9818623,-.0887191,.9114075
91,"House",10639,1.653178,1,"NH","R","WYMAN, Louis Crosby",1.418,,0,1.418,1,.7106461,-.0887191,.9114075
91,"House",11046,-.1188062,2,"NJ","R","SANDMAN, Charles William, Jr.",-.197,,0,-.197,1,.191764,-.0887191,.9114075
91,"House",672,-.0387103,2,"SD","R","BERRY, Ellis Yarnal",-.124,,0,-.124,1,-.0387103,-.0887191,.9114075
91,"House",10581,-.1495279,2,"NH","R","CLEVELAND, James Colgate",-.225,,0,-.225,1,.3384336,-.0887191,.9114075
91,"House",10605,-.069432,98,"HI","D","MATSUNAGA, Spark Masayuki",-.152,,0,-.152,1,-.466447,-.0887191,.9114075
91,"House",13,.0589409,1,"MS","D","ABERNETHY, Thomas Gerstle",-.035,,0,-.035,1,1.165889,-.0887191,.9114075
91,"House",91043,-.3623855,7,"MI","R","RIEGLE, Donald Wayne, Jr.",-.419,,0,-.419,1,-1.182381,-.0887191,.9114075
91,"House",10631,1.619165,12,"CA","R","TALCOTT, Burt Lacklen",1.387,,0,1.387,1,.6199004,-.0887191,.9114075
91,"House",12007,1.761802,4,"FL","D","CHAPPELL, William Venroe, Jr.",1.517,,0,1.517,1,.5660504,-.0887191,.9114075
91,"House",10739,-.0529739,3,"NJ","D","HOWARD, James John",-.137,,0,-.137,1,-.8207363,-.0887191,.9114075
91,"House",7467,-.2186518,32,"NY","R","PIRNIE, Alexander",-.288,,0,-.288,1,.339818,-.0887191,.9114075
91,"House",3054,-.434801,4,"MD","D","FALLON, George Hyde",-.485,,0,-.485,1,-.434801,-.0887191,.9114075
91,"House",8288,1.684997,1,"IA","R","SCHWENGEL, Frederick Delbert",1.447,,0,1.447,1,.8744983,-.0887191,.9114075
91,"House",2513,-.106737,21,"PA","D","DENT, John Herman",-.186,,0,-.186,1,.1006008,-.0887191,.9114075
91,"House",12004,2.569344,10,"MO","D","BURLISON, Bill D.",2.253,,0,2.253,1,.4379742,-.0887191,.9114075
91,"House",7845,-.165986,1,"AZ","R","RHODES, John Jacob",-.24,,0,-.24,1,.4614782,-.0887191,.9114075
91,"House",3078,-.1594027,12,"FL","D","FASCELL, Dante Bruno",-.234,,0,-.234,1,-.8114656,-.0887191,.9114075
